dataset,alpha,seed,n_lcc,m_lcc,n_comm,Q_orig,m_sparse,realized_retention,Q_fixed_sparse,dQ_fixed,Q_leiden_sparse,dQ_leiden_sparse,F_orig,F_sparse,dF_obs,G_orig,G_sparse,dG_obs,dQ_reconstructed,recon_abs_err,intra_rate,inter_rate,ratio_observed,ratio_predicted,mu_intra,mu_inter,delta,n1,n2
cit-HepTh,0.6499999999999999,65000,27400,352021,26,0.6566588620689939,134268,0.3814204266222754,0.7078841957812279,0.05122533371223392,0.7219696382243748,0.06531077615538083,0.7344249348760443,0.7732296600828195,0.03880472520677514,0.07776607280705047,0.06534546430159137,-0.012420608505459105,0.05122533371223424,3.191891195797325e-16,0.4015734935192026,0.32568885846311824,0.8110317631000322,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6499999999999999,65001,27400,352021,26,0.6566588620689939,134080,0.38088636757466177,0.707363904614395,0.05070504254540109,0.7221810015242209,0.065522139455227,0.7344249348760443,0.772777446300716,0.038352511424671665,0.07776607280705047,0.06541354168632092,-0.012352531120729551,0.050705042545401216,1.249000902703301e-16,0.40077669001636157,0.3258813965428718,0.813124626907737,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6499999999999999,65002,27400,352021,26,0.6566588620689939,134233,0.38132100073575154,0.7059670561039841,0.049308194034990205,0.7205657967859744,0.0639069347169805,0.7344249348760443,0.7713378975363733,0.03691296266032895,0.07776607280705047,0.06537084143238947,-0.012395231374661003,0.049308194034989955,2.498001805406602e-16,0.4004865916536767,0.3283202122197501,0.8198032569931006,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6499999999999999,65003,27400,352021,26,0.6566588620689939,134194,0.38121021189076787,0.7058997048232091,0.04924084275421514,0.7216271805229273,0.06496831845393336,0.7344249348760443,0.7711224048765221,0.03669747000047774,0.07776607280705047,0.06522270005331304,-0.01254337275373743,0.04924084275421517,2.7755575615628914e-17,0.40025838094169797,0.3285341434194763,0.8208051575248112,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6499999999999999,65004,27400,352021,26,0.6566588620689939,134195,0.38121305263038285,0.7074647814753722,0.05080591940637824,0.7195530693412097,0.06289420727221573,0.7344249348760443,0.772703901039532,0.03827896616348769,0.07776607280705047,0.06523911956415993,-0.012526953242890548,0.05080591940637824,0.0,0.4010822602917229,0.3262664727023789,0.8134652289659295,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6499999999999999,65005,27400,352021,26,0.6566588620689939,134131,0.381031245295025,0.7073831677625113,0.05072430569351738,0.7211342910683674,0.06447542899937342,0.7344249348760443,0.7727445556955513,0.038319620819507016,0.07776607280705047,0.06536138793304012,-0.01240468487401035,0.050724305693517366,1.3877787807814457e-17,0.4009120692522811,0.3260525415026527,0.8132769415267423,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6499999999999999,65006,27400,352021,26,0.6566588620689939,133840,0.38020459006706986,0.7069285970354644,0.05026973496647047,0.7191247123285817,0.06246585025958773,0.7344249348760443,0.772048714883443,0.03762378000739863,0.07776607280705047,0.06512011784797864,-0.012645954959071837,0.05026973496647047,0.0,0.39968205219449743,0.3263413486222831,0.8165023844089838,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6499999999999999,65007,27400,352021,26,0.6566588620689939,134190,0.38119884893230804,0.7070541073568786,0.05039524528788464,0.7212731445488445,0.06461428247985057,0.7344249348760443,0.7725538415679261,0.03812890669188174,0.07776607280705047,0.06549973421104748,-0.012266338596002999,0.050395245287884735,9.71445146547012e-17,0.40098942881566374,0.3264697073421188,0.814160383994058,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6499999999999999,65008,27400,352021,26,0.6566588620689939,134199,0.38122441558884274,0.7055808925223362,0.04892203045334231,0.7218156683367114,0.06515680626771747,0.7344249348760443,0.770788157884932,0.036363223008887724,0.07776607280705047,0.06520726536259559,-0.01255880744445488,0.048922030453342605,2.914335439641036e-16,0.4000997938367636,0.32902618517884646,0.8223602967240858,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6499999999999999,65009,27400,352021,26,0.6566588620689939,134070,0.3808579601785121,0.7062260934216725,0.0495672313526786,0.720456630117037,0.06379776804804305,0.7344249348760443,0.7715670918177072,0.037142156941662896,0.07776607280705047,0.06534099839603466,-0.012425074411015813,0.04956723135267871,1.1102230246251565e-16,0.40011913372760927,0.3275928461406812,0.8187382669974935,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
