network,arm,condition,sparsifier,target_ret,realized_ret,spar_seed,leiden_seed,gamma,m_sparse,comm,comm_size,core_size,core_emb_mean,periph_emb_mean,core_cohesion,periph_cohesion
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,3,123,62,0.5560028129942078,0.23138308564370022,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,4,111,56,0.5138510599354505,0.23419364180882393,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,5,104,52,0.4582154553158987,0.19629613788417183,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,6,83,42,0.44932266179187247,0.1842213210643928,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,7,60,30,0.46485659598972273,0.16263937428991096,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,8,52,26,0.5138483738483738,0.14403399070305956,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,9,47,24,0.45133746614009773,0.14730717066174173,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,0,153,77,0.5658877091660534,0.2833017202787992,0.2077922077922078,0.18421052631578946
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,1,126,63,0.6082089916446508,0.2539474846087048,0.14285714285714285,0.20634920634920634
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,2,125,63,0.4591643160642754,0.23520438233329746,0.31746031746031744,0.25806451612903225
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,3,123,62,0.5560028129942078,0.23138308564370022,0.27419354838709675,0.16393442622950818
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,4,111,56,0.5138510599354505,0.23419364180882393,0.3392857142857143,0.2909090909090909
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,5,104,52,0.4582154553158987,0.19629613788417183,0.25,0.19230769230769232
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,6,83,42,0.44932266179187247,0.1842213210643928,0.19047619047619047,0.1951219512195122
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,7,60,30,0.46485659598972273,0.16263937428991096,0.4,0.23333333333333334
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,8,52,26,0.5138483738483738,0.14403399070305956,0.2692307692307692,0.15384615384615385
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,9,47,24,0.45133746614009773,0.14730717066174173,0.20833333333333334,0.17391304347826086
wiki-Vote,real,jitter,,1.0,1.0,,101,1.0,100736,0,1728,864,0.9994871380426665,0.6686424066251001,0.9965277777777778,0.8692129629629629
wiki-Vote,real,jitter,,1.0,1.0,,101,1.0,100736,1,1543,772,0.9945527779267784,0.6784656306985372,0.8354922279792746,0.8261997405966277
wiki-Vote,real,jitter,,1.0,1.0,,101,1.0,100736,2,1455,728,0.9856997107995369,0.6123657324330577,0.7706043956043956,0.6740027510316369
wiki-Vote,real,jitter,,1.0,1.0,,101,1.0,100736,3,1418,709,0.9806624376672816,0.5878607101867981,0.9365303244005642,0.8392101551480959
wiki-Vote,real,jitter,,1.0,1.0,,101,1.0,100736,4,917,459,0.9896415128243473,0.641945145795337,1.0,0.9781659388646288
wiki-Vote,real,dspar,dspar,0.8,0.800171,200,300,1.0,80606,0,1728,864,0.9994871380426665,0.6686424066251001,0.9837962962962963,0.8634259259259259
wiki-Vote,real,dspar,dspar,0.8,0.800171,200,300,1.0,80606,1,1543,772,0.9945527779267784,0.6784656306985372,0.8769430051813472,0.8391699092088197
wiki-Vote,real,dspar,dspar,0.8,0.800171,200,300,1.0,80606,2,1455,728,0.9856997107995369,0.6123657324330577,0.8076923076923077,0.7070151306740028
wiki-Vote,real,dspar,dspar,0.8,0.800171,200,300,1.0,80606,3,1418,709,0.9806624376672816,0.5878607101867981,0.8547249647390691,0.7475317348377997
wiki-Vote,real,dspar,dspar,0.8,0.800171,200,300,1.0,80606,4,917,459,0.9896415128243473,0.641945145795337,0.9629629629629629,0.9366812227074236
wiki-Vote,real,dspar,dspar,0.5,0.498829,200,300,1.0,50250,0,1728,864,0.9994871380426665,0.6686424066251001,0.8819444444444444,0.7361111111111112
wiki-Vote,real,dspar,dspar,0.5,0.498829,200,300,1.0,50250,1,1543,772,0.9945527779267784,0.6784656306985372,0.4727979274611399,0.5058365758754864
wiki-Vote,real,dspar,dspar,0.5,0.498829,200,300,1.0,50250,2,1455,728,0.9856997107995369,0.6123657324330577,0.5357142857142857,0.4938101788170564
