gen,het_deg,het_size,d_nom,graph_seed,d_avg,mu_real,deg_cv,m,k,sparsifier,target_ret,realized_ret,status,n_metis_seeds,Q_base_mean,Q_base_std,Q_base_min,Q_base_max,AMI_base_mean,AMI_base_std,AMI_base_min,AMI_base_max,Q_sparse_mean,Q_sparse_std,Q_sparse_min,Q_sparse_max,AMI_sparse_mean,AMI_sparse_std,AMI_sparse_min,AMI_sparse_max,dQ,dAMI,worstcase_dQ,worstcase_dAMI
sbm,0,0,10,3,11.1794,0.5790113959604272,0.2993419283538197,55897,100,lspar,0.15,0.16042,floor,10,0.38519518965948485,0.007246330227424131,0.370139918938288,0.3965452428165338,0.8081236907626627,0.026566976066699045,0.7519379446349462,0.8529684745088958,0.19144493198216286,0.0006585989657942488,0.1903750948356643,0.19221802659878812,0.31647480474562084,0.001715476859320099,0.31390941160469343,0.3190495739841469,-0.19375025767732199,-0.4916488860170418,-0.2061701479808695,-0.5390590629042024
sbm,0,0,10,3,11.1794,0.5790113959604272,0.2993419283538197,55897,100,dspar,0.5,0.49985,ok,10,0.38519518965948485,0.007246330227424131,0.370139918938288,0.3965452428165338,0.8081236907626627,0.026566976066699045,0.7519379446349462,0.8529684745088958,0.21638154770167306,0.0009295319165710127,0.21515197981242412,0.2177281604531035,0.18872292216769362,0.005432398119453906,0.18371667916367315,0.19842651601777897,-0.1688136419578118,-0.6194007685949691,-0.18139326300410968,-0.6692517953452226
sbm,0,0,10,3,11.1794,0.5790113959604272,0.2993419283538197,55897,100,dspar,0.2,0.1993,ok,10,0.38519518965948485,0.007246330227424131,0.370139918938288,0.3965452428165338,0.8081236907626627,0.026566976066699045,0.7519379446349462,0.8529684745088958,0.16232226475424033,0.000435133053030964,0.16178576393097494,0.1632367235537357,0.12214272801702988,0.000964027211517334,0.12013130615214802,0.12410433297623624,-0.22287292490524452,-0.6859809627456328,-0.23475947888555887,-0.7328371683567477
sbm,0,0,10,3,11.1794,0.5790113959604272,0.2993419283538197,55897,100,dspar,0.15,0.14893,ok,10,0.38519518965948485,0.007246330227424131,0.370139918938288,0.3965452428165338,0.8081236907626627,0.026566976066699045,0.7519379446349462,0.8529684745088958,0.13948842976499282,0.0005397316089987392,0.13903049467860154,0.14083813634857412,0.11946100537987832,0.002176337465068299,0.1149805918290644,0.12305381013188603,-0.24570675989449203,-0.6886626853827843,-0.2575147481379323,-0.7379878826798314
sbm,0,0,10,3,11.1794,0.5790113959604272,0.2993419283538197,55897,100,random,0.5,0.49999,ok,10,0.38519518965948485,0.007246330227424131,0.370139918938288,0.3965452428165338,0.8081236907626627,0.026566976066699045,0.7519379446349462,0.8529684745088958,0.21779388454297402,0.0007882323483486291,0.2162985152938396,0.21942521185007335,0.19244120759527764,0.003582072560325541,0.18614401738203198,0.19895765652242306,-0.16740130511651083,-0.615682483167385,-0.18024672752269422,-0.6668244571268638
sbm,0,0,10,3,11.1794,0.5790113959604272,0.2993419283538197,55897,100,random,0.2,0.19999,ok,10,0.38519518965948485,0.007246330227424131,0.370139918938288,0.3965452428165338,0.8081236907626627,0.026566976066699045,0.7519379446349462,0.8529684745088958,0.16009628303879742,0.00038851199027963506,0.15950913125183272,0.16074091722599748,0.12485975429833182,0.0009330446543324942,0.12322308505273703,0.12616544053911538,-0.22509890662068743,-0.6832639364643308,-0.23703611156470109,-0.7297453894561587
sbm,0,0,10,3,11.1794,0.5790113959604272,0.2993419283538197,55897,100,random,0.15,0.15001,ok,10,0.38519518965948485,0.007246330227424131,0.370139918938288,0.3965452428165338,0.8081236907626627,0.026566976066699045,0.7519379446349462,0.8529684745088958,0.13839311651132058,0.00040737948789396083,0.13743430231856935,0.1389922895353572,0.12199850661144632,0.0014424345303472518,0.11967531903992872,0.1241870272545321,-0.24680207314816427,-0.6861251841512164,-0.25911094049796446,-0.7332931554689671
sbm,0,0,25,1,24.7204,0.5986310901118105,0.19756037430806836,123602,100,lspar,0.5,0.50427,ok,10,0.3755500454282358,0.007047514241184712,0.3604688469931305,0.38423358301518284,0.9666449365084727,0.01395898424730526,0.9370525008753416,0.9821125120508006,0.3855441607279695,0.0033704470498654424,0.38127221505402825,0.39099976315007057,0.9848057917761164,0.007511634589430479,0.9735722050770983,0.9962552038663325,0.009994115299733708,0.01816085526764366,-0.002961367961154593,-0.008540306973702338
sbm,0,0,25,1,24.7204,0.5986310901118105,0.19756037430806836,123602,100,lspar,0.2,0.20084,ok,10,0.3755500454282358,0.007047514241184712,0.3604688469931305,0.38423358301518284,0.9666449365084727,0.01395898424730526,0.9370525008753416,0.9821125120508006,0.37616737705303377,0.004615343773892579,0.36992820620170086,0.3812802695372393,0.9488383528834301,0.0098133770402641,0.9352671205357932,0.9598678631956571,0.0006173316247979899,-0.017806583625042616,-0.014305376813481985,-0.04684539151500744
sbm,0,0,25,1,24.7204,0.5986310901118105,0.19756037430806836,123602,100,lspar,0.15,0.15466,ok,10,0.3755500454282358,0.007047514241184712,0.3604688469931305,0.38423358301518284,0.9666449365084727,0.01395898424730526,0.9370525008753416,0.9821125120508006,0.3695187055064571,0.003607956253984301,0.3618277730256353,0.3729131350579158,0.9308390999449297,0.0066411363626762455,0.9169951782856388,0.9370250299647369,-0.006031339921778678,-0.03580583656354297,-0.022405809989547554,-0.06511733376516182
sbm,0,0,25,1,24.7204,0.5986310901118105,0.19756037430806836,123602,100,dspar,0.5,0.50112,ok,10,0.3755500454282358,0.007047514241184712,0.3604688469931305,0.38423358301518284,0.9666449365084727,0.01395898424730526,0.9370525008753416,0.9821125120508006,0.3143013012948542,0.011742961979357933,0.292717046128387,0.3313369582484009,0.8159615102317185,0.027108924439551183,0.769365093657741,0.853175175540623,-0.061248744133381605,-0.15068342627675424,-0.09151653688679584,-0.21274741839305966
