dataset,arm,graph,alpha,seed,n,m,m_sparse,retention,Q_base_mean,Q_base_std,Q_sparse,Q_on_orig,paper_delta,honest_delta,Q_fixed_full,Q_fixed_sparse,dQ_fixed
com-DBLP,null,real,0.9,2,317080,1049866,944056,0.8992157094333944,,,,,,,0.8242344596276509,0.8242888585800477,5.439895239689463e-05
com-DBLP,null,rewired,0.8,0,317080,1049866,840682,0.800751714980769,,,,,,,0.3639315691240729,0.3640742825331078,0.00014271340903493357
com-DBLP,null,rewired,0.8,1,317080,1049866,839420,0.7995496568133457,,,,,,,0.3639315691240729,0.3639791421762354,4.75730521625195e-05
com-DBLP,null,rewired,0.8,2,317080,1049866,839436,0.7995648968535032,,,,,,,0.3639315691240729,0.36380570237950494,-0.00012586674456793734
com-DBLP,null,rewired,0.9,0,317080,1049866,945234,0.9003377573899907,,,,,,,0.3639315691240729,0.36401970692047964,8.8137796406762e-05
com-DBLP,null,rewired,0.9,1,317080,1049866,944503,0.8996414780552947,,,,,,,0.3639315691240729,0.36391061893001136,-2.0950194061508665e-05
com-DBLP,null,rewired,0.9,2,317080,1049866,944056,0.8992157094333944,,,,,,,0.3639315691240729,0.3635844089857214,-0.00034716013835145443
com-DBLP,null_retmatched,real,0.4688,0,317080,1049866,492470,0.46907891102293053,,,,,,,0.8242344596276509,0.8240208924971189,-0.00021356713053199972
com-DBLP,null_retmatched,real,0.4688,1,317080,1049866,491695,0.4683407215778014,,,,,,,0.8242344596276509,0.8245997985435365,0.00036533891588563794
com-DBLP,null_retmatched,real,0.4688,2,317080,1049866,492388,0.46900080581712333,,,,,,,0.8242344596276509,0.8241216007800944,-0.0001128588475564074
com-DBLP,null_retmatched,rewired,0.4688,0,317080,1049866,492470,0.46907891102293053,,,,,,,0.3639315691240729,0.3637873886693356,-0.00014418045473729713
com-DBLP,null_retmatched,rewired,0.4688,1,317080,1049866,491695,0.4683407215778014,,,,,,,0.3639315691240729,0.3628622591254712,-0.001069309998601664
com-DBLP,null_retmatched,rewired,0.4688,2,317080,1049866,492388,0.46900080581712333,,,,,,,0.3639315691240729,0.36258608203164927,-0.0013454870924236029
