comparison,part_a,part_b,ami
extra-seeded,extra_916,seeded_304,0.746368062392043
extra-seeded,extra_917,seeded_300,0.6963539983667023
extra-seeded,extra_917,seeded_301,0.7240620760053889
extra-seeded,extra_917,seeded_302,0.6962591702773211
extra-seeded,extra_917,seeded_303,0.7180196596890301
extra-seeded,extra_917,seeded_304,0.744675581284729
extra-seeded,extra_918,seeded_300,0.6952409013034558
extra-seeded,extra_918,seeded_301,0.7275523028665536
extra-seeded,extra_918,seeded_302,0.6928599394134136
extra-seeded,extra_918,seeded_303,0.7312905941504938
extra-seeded,extra_918,seeded_304,0.6923735574849699
extra-seeded,extra_919,seeded_300,0.6754292058606051
extra-seeded,extra_919,seeded_301,0.7100031810117157
extra-seeded,extra_919,seeded_302,0.6658336225914271
extra-seeded,extra_919,seeded_303,0.7018156699769363
extra-seeded,extra_919,seeded_304,0.7082866900407048
extra-extra,extra_900,extra_901,0.7119412703603369
extra-extra,extra_900,extra_902,0.7560116780027546
extra-extra,extra_900,extra_903,0.6621139656210521
extra-extra,extra_900,extra_904,0.7367105732611205
extra-extra,extra_900,extra_905,0.7096976141444721
extra-extra,extra_900,extra_906,0.7020213601046473
extra-extra,extra_900,extra_907,0.6932264214828008
extra-extra,extra_900,extra_908,0.7392856818680511
extra-extra,extra_900,extra_909,0.7233158764246018
extra-extra,extra_900,extra_910,0.6774977127213787
extra-extra,extra_900,extra_911,0.7287837738545312
extra-extra,extra_900,extra_912,0.6718164452911566
extra-extra,extra_900,extra_913,0.6947363260376321
extra-extra,extra_900,extra_914,0.7343718693717936
extra-extra,extra_900,extra_915,0.6920624229993688
extra-extra,extra_900,extra_916,0.6727656985605749
extra-extra,extra_900,extra_917,0.6728281263812639
extra-extra,extra_900,extra_918,0.8280226137180048
extra-extra,extra_900,extra_919,0.6334857972790192
extra-extra,extra_901,extra_902,0.6822747840044626
extra-extra,extra_901,extra_903,0.6421529782074713
extra-extra,extra_901,extra_904,0.7388540954120163
extra-extra,extra_901,extra_905,0.7169397958938756
extra-extra,extra_901,extra_906,0.6848967149979777
extra-extra,extra_901,extra_907,0.7126844088177092
extra-extra,extra_901,extra_908,0.6901609813236144
extra-extra,extra_901,extra_909,0.6741546529841252
extra-extra,extra_901,extra_910,0.6833687563153349
extra-extra,extra_901,extra_911,0.6847164126577472
extra-extra,extra_901,extra_912,0.6645191131946835
extra-extra,extra_901,extra_913,0.6556613149652463
extra-extra,extra_901,extra_914,0.7018791039751757
extra-extra,extra_901,extra_915,0.6945701053359338
extra-extra,extra_901,extra_916,0.7011854835917233
extra-extra,extra_901,extra_917,0.7097028202240115
extra-extra,extra_901,extra_918,0.7258594284384936
extra-extra,extra_901,extra_919,0.6716734516826458
extra-extra,extra_902,extra_903,0.6574397362376267
extra-extra,extra_902,extra_904,0.6857136439117155
extra-extra,extra_902,extra_905,0.7173430338409396
extra-extra,extra_902,extra_906,0.7006902936003139
extra-extra,extra_902,extra_907,0.7141426378647467
extra-extra,extra_902,extra_908,0.6881977796864014
extra-extra,extra_902,extra_909,0.7130882503539742
extra-extra,extra_902,extra_910,0.6909421346235332
extra-extra,extra_902,extra_911,0.735657324803399
extra-extra,extra_902,extra_912,0.6512863292242969
extra-extra,extra_902,extra_913,0.7032267026775871
