base_comm,seeded_comm,size_base,size_seeded,overlap,jaccard,L_base,L_seeded,vol_base,vol_seeded,contrib_base,contrib_seeded,d_contrib,status
148,-1,3,0,0,0.0,3.0,0.0,7.0,0.0,1.659153618804828e-05,0.0,-1.659153618804828e-05,base_only
149,-1,3,0,0,0.0,3.0,0.0,7.0,0.0,1.659153618804828e-05,0.0,-1.659153618804828e-05,base_only
62,62,12,10,10,0.8333333333333334,34.0,32.0,78.0,72.0,0.00018799513249292675,0.00017694074085368344,-1.1054391639243313e-05,matched
13,17,505,505,505,1.0,1635.0,1635.0,3499.0,3499.0,0.008948969374271662,0.008948969374271662,0.0,matched
28,28,130,130,130,1.0,557.0,557.0,1159.0,1159.0,0.0030702927372354112,0.0030702927372354112,0.0,matched
29,29,106,106,106,1.0,108.0,108.0,217.0,217.0,0.000596948703115446,0.000596948703115446,0.0,matched
32,32,51,51,51,1.0,57.0,57.0,117.0,117.0,0.0003151416273216331,0.0003151416273216331,0.0,matched
35,33,28,28,28,1.0,110.0,110.0,221.0,221.0,0.0006079965795223572,0.0006079965795223572,0.0,matched
36,34,27,27,27,1.0,90.0,90.0,194.0,194.0,0.0004974695247347275,0.0004974695247347275,0.0,matched
37,35,27,27,27,1.0,104.0,104.0,220.0,220.0,0.0005748161300625634,0.0005748161300625634,0.0,matched
38,37,25,25,25,1.0,76.0,76.0,158.0,158.0,0.00042013750985676234,0.00042013750985676234,0.0,matched
40,36,25,25,25,1.0,68.0,68.0,142.0,142.0,0.00037592911968335556,0.00037592911968335556,0.0,matched
42,39,19,19,19,1.0,22.0,22.0,47.0,47.0,0.00012165712100335118,0.00012165712100335118,0.0,matched
43,42,17,17,17,1.0,45.0,45.0,103.0,103.0,0.00024879753647794473,0.00024879753647794473,0.0,matched
44,43,17,17,17,1.0,62.0,62.0,129.0,129.0,0.000342772238235355,0.000342772238235355,0.0,matched
45,44,16,16,16,1.0,32.0,32.0,67.0,67.0,0.0001769460555091657,0.0001769460555091657,0.0,matched
46,46,16,16,16,1.0,62.0,62.0,125.0,125.0,0.00034278000757344127,0.00034278000757344127,0.0,matched
48,45,16,16,16,1.0,32.0,32.0,68.0,68.0,0.00017694502316601446,0.00017694502316601446,0.0,matched
49,48,15,15,15,1.0,56.0,56.0,118.0,118.0,0.00030960919331639227,0.00030960919331639227,0.0,matched
50,47,15,15,15,1.0,39.0,39.0,80.0,80.0,0.00021564590086254966,0.00021564590086254966,0.0,matched
52,49,14,14,14,1.0,36.0,36.0,74.0,74.0,0.0001990610557875186,0.0001990610557875186,0.0,matched
54,51,12,12,12,1.0,42.0,42.0,91.0,91.0,0.00023222342777168644,0.00023222342777168644,0.0,matched
56,53,12,12,12,1.0,21.0,21.0,46.0,46.0,0.0001161271952096185,0.0001161271952096185,0.0,matched
59,52,12,12,12,1.0,24.0,24.0,58.0,58.0,0.00013270956266108662,0.00013270956266108662,0.0,matched
64,55,11,11,11,1.0,10.0,10.0,21.0,21.0,5.530299731363014e-05,5.530299731363014e-05,0.0,matched
66,58,11,11,11,1.0,22.0,22.0,46.0,46.0,0.00012165783217307759,0.00012165783217307759,0.0,matched
67,57,11,11,11,1.0,22.0,22.0,48.0,48.0,0.00012165639453965217,0.00012165639453965217,0.0,matched
68,60,10,10,10,1.0,27.0,27.0,57.0,57.0,0.00014930235295488898,0.00014930235295488898,0.0,matched
70,61,10,10,10,1.0,32.0,32.0,65.0,65.0,0.0001769480743135503,0.0001769480743135503,0.0,matched
71,64,9,9,9,1.0,30.0,30.0,69.0,69.0,0.00016588270160197246,0.00016588270160197246,0.0,matched
72,63,9,9,9,1.0,27.0,27.0,55.0,55.0,0.00014930406587982138,0.00014930406587982138,0.0,matched
73,66,9,9,9,1.0,18.0,18.0,38.0,38.0,9.954042309403848e-05,9.954042309403848e-05,0.0,matched
75,67,8,8,8,1.0,13.0,13.0,27.0,27.0,7.189270587195143e-05,7.189270587195143e-05,0.0,matched
76,69,8,8,8,1.0,20.0,20.0,41.0,41.0,0.00011059988468520226,0.00011059988468520226,0.0,matched
78,68,8,8,8,1.0,28.0,28.0,57.0,57.0,0.00015483298991834807,0.00015483298991834807,0.0,matched
79,70,8,8,8,1.0,18.0,18.0,37.0,37.0,9.954099661801138e-05,9.954099661801138e-05,0.0,matched
81,75,7,7,7,1.0,11.0,11.0,23.0,23.0,6.083296134229435e-05,6.083296134229435e-05,0.0,matched
83,74,7,7,7,1.0,21.0,21.0,50.0,50.0,0.00011612425876687722,0.00011612425876687722,0.0,matched
84,72,7,7,7,1.0,12.0,12.0,25.0,25.0,6.636286419506811e-05,6.636286419506811e-05,0.0,matched
85,79,7,7,7,1.0,21.0,21.0,49.0,49.0,0.00011612501581852145,0.00011612501581852145,0.0,matched
86,78,7,7,7,1.0,10.0,10.0,21.0,21.0,5.530299731363014e-05,5.530299731363014e-05,0.0,matched
87,73,7,7,7,1.0,12.0,12.0,25.0,25.0,6.636286419506811e-05,6.636286419506811e-05,0.0,matched
88,81,7,7,7,1.0,17.0,17.0,37.0,37.0,9.40103596545523e-05,9.40103596545523e-05,0.0,matched
