arm,mu,d_nom,lfr_seed,noise_pct,detector,sparsifier,target_ret,realized_ret,status,m_clean,m_noisy,n_added,d_avg_clean,d_avg_noisy,k_planted,m_sparse,AMI_base,ARI_base,Q_noisy_base,Q_clean_base,nc_base,AMI,ARI,Q_noisy_transfer,Q_clean_transfer,nc_sparse,cv_sparse,AMI_chance,dAMI,dARI,dQ_noisy,dQ_clean
C,0.5,25,2,0,metis,dspar,0.2,0.20017,ok,140216,140216,0,28.0432,28.0432,108,28067,0.6041653495967533,0.3518597375860034,0.21836670507958134,0.21836670507958134,108,0.13589118115712523,0.033902934943234174,0.08917034595128596,0.08917034595128596,108,0.016102173766296274,-0.0011845387686178575,-0.46827416843962805,-0.31795680264276927,-0.12919635912829536,-0.12919635912829536
C,0.5,25,2,10,leiden,lspar,0.5,0.50086,ok,140216,154238,14022,28.0432,30.8476,108,77251,0.7259922359488225,0.5718732414241661,0.3407495944919883,0.3699831605874149,32.666666666666664,0.7782833492763744,0.7037683740289348,0.3387070787475008,0.3697192182089901,44.333333333333336,0.5823856126785021,0.00019908852396206171,0.052291113327551986,0.1318951326047687,-0.002042515744487494,-0.0002639423784248085
C,0.5,25,2,10,metis,lspar,0.5,0.50086,ok,140216,154238,14022,28.0432,30.8476,108,77251,0.5767959631265162,0.3300917808952878,0.19775914886500137,0.2093550833361765,108,0.6076023637306723,0.355143197189632,0.19740369843375438,0.2111044814119144,108,0.02921095684841563,0.0004507836312630761,0.03080640060415618,0.02505141629434421,-0.0003554504312469897,0.0017493980757379013
C,0.5,25,2,10,leiden,lspar,0.2,0.20346,ok,140216,154238,14022,28.0432,30.8476,108,31381,0.7259922359488225,0.5718732414241661,0.3407495944919883,0.3699831605874149,32.666666666666664,0.7519692595771367,0.7198752084886056,0.3292545203525199,0.3588559158381887,56.666666666666664,0.6445405475738643,-0.0005461370288471944,0.025977023628314222,0.14800196706443958,-0.011495074139468375,-0.011127244749226217
C,0.5,25,2,10,metis,lspar,0.2,0.20346,ok,140216,154238,14022,28.0432,30.8476,108,31381,0.5767959631265162,0.3300917808952878,0.19775914886500137,0.2093550833361765,108,0.6310422481619195,0.3541463868940839,0.18373931558780396,0.19697592949872197,108,0.024373756378531397,0.0010544613810681484,0.0542462850354033,0.024054605998796108,-0.014019833277197413,-0.012379153837454526
C,0.5,25,2,10,leiden,dspar,0.5,0.50158,ok,140216,154238,14022,28.0432,30.8476,108,77363,0.7259922359488225,0.5718732414241661,0.3407495944919883,0.3699831605874149,32.666666666666664,0.39246141134976115,0.2219329425861105,0.2747578765698584,0.2900125369781617,22.333333333333332,0.7876525041292443,-0.00027853119493088555,-0.3335308245990613,-0.34994029883805555,-0.06599171792212988,-0.07997062360925322
C,0.5,25,2,10,metis,dspar,0.5,0.50158,ok,140216,154238,14022,28.0432,30.8476,108,77363,0.5767959631265162,0.3300917808952878,0.19775914886500137,0.2093550833361765,108,0.4145303761746507,0.22271935069231327,0.1675754030407476,0.17269238669981618,108,0.023052982453470094,0.0014321736341231387,-0.16226558695186544,-0.10737243020297452,-0.03018374582425376,-0.03666269663636032
C,0.5,25,2,10,leiden,dspar,0.2,0.20036,ok,140216,154238,14022,28.0432,30.8476,108,30903,0.7259922359488225,0.5718732414241661,0.3407495944919883,0.3699831605874149,32.666666666666664,0.056396345153420124,0.021393258172318724,0.09901256664334708,0.09441995637487906,81.66666666666667,2.106218354804664,0.0003906955212346619,-0.6695958907954023,-0.5504799832518473,-0.2417370278486412,-0.2755632042125359
C,0.5,25,2,10,metis,dspar,0.2,0.20036,ok,140216,154238,14022,28.0432,30.8476,108,30903,0.5767959631265162,0.3300917808952878,0.19775914886500137,0.2093550833361765,108,0.09512720975102529,0.018567715757968003,0.07899601664889544,0.07335591786193911,108,0.01583161394173064,-0.0015475368672577356,-0.48166875337549087,-0.3115240651373198,-0.11876313221610593,-0.1359991654742374
C,0.5,25,2,25,leiden,lspar,0.5,0.50211,ok,140216,175270,35054,28.0432,35.054,108,88004,0.7035253212094492,0.5700341079060814,0.30206844612413214,0.36637616117988087,31.333333333333332,0.7493947775163292,0.65571334383236,0.2984900392826316,0.36639630641845616,41.666666666666664,0.6027577020267035,0.0007269232683017575,0.04586945630688,0.08567923592627857,-0.0035784068415005144,2.0145238575297597e-05
