mu,d_nom,lfr_seed,d_avg,m,k,sparsifier,target_ret,realized_ret,status,n_metis_seeds,Q_base_mean,Q_base_std,Q_base_min,Q_base_max,AMI_base_mean,AMI_base_std,AMI_base_min,AMI_base_max,Q_sparse_mean,Q_sparse_std,Q_sparse_min,Q_sparse_max,AMI_sparse_mean,AMI_sparse_std,AMI_sparse_min,AMI_sparse_max,dQ,dAMI,dQ_over_pooled_sd,dAMI_over_pooled_sd,worstcase_dQ,worstcase_dAMI
0.5,25,3,22.2422,111211,91,lspar,0.15,0.14926,ok,10,0.24706957562325135,0.0020088740835472255,0.24338556255257554,0.25022211759829277,0.6013291702602581,0.012084532104104989,0.5794413542102512,0.6182240347534653,0.2006237483208551,0.0012088549517526917,0.19904863755985946,0.20287476758778736,0.5514550791948102,0.005124818950855416,0.543215265573021,0.5588606448521874,-0.04644582730239624,-0.049874091065447934,-28.015770445442648,-5.373382411870412,-0.051173480038433306,-0.0750087691804443
0.5,25,3,22.2422,111211,91,dspar,0.5,0.50096,ok,10,0.24706957562325135,0.0020088740835472255,0.24338556255257554,0.25022211759829277,0.6013291702602581,0.012084532104104989,0.5794413542102512,0.6182240347534653,0.20829909347694278,0.0027813036594173963,0.2052932037489867,0.21510751517510623,0.43309248029709535,0.008054178224209231,0.4216371215098361,0.4487572158038787,-0.03877048214630857,-0.16823668996316277,-15.981052079617369,-16.38292907589891,-0.04492891384930606,-0.1965869132436292
0.5,25,3,22.2422,111211,91,dspar,0.2,0.20001,ok,10,0.24706957562325135,0.0020088740835472255,0.24338556255257554,0.25022211759829277,0.6013291702602581,0.012084532104104989,0.5794413542102512,0.6182240347534653,0.1030340634744897,0.0012865352859764857,0.10055571211688673,0.10490254549935,0.11286716169610518,0.0031489412166239607,0.10736306942755124,0.11716362683169736,-0.14403551214876165,-0.48846200856415295,-85.38860077178245,-55.31598711097068,-0.14966640548140603,-0.5108609653259141
0.5,25,3,22.2422,111211,91,dspar,0.15,0.14974,ok,10,0.24706957562325135,0.0020088740835472255,0.24338556255257554,0.25022211759829277,0.6013291702602581,0.012084532104104989,0.5794413542102512,0.6182240347534653,0.09135990514074024,0.0006276308384674104,0.09086185518373745,0.0927624804409377,0.09477345696436348,0.0019794735328433895,0.09109921881557403,0.09801566912353814,-0.1557096704825111,-0.5065557132958947,-104.62933100415562,-58.50094114041074,-0.1593602624145553,-0.5271248159378913
0.5,25,3,22.2422,111211,91,random,0.5,0.5,ok,10,0.24706957562325135,0.0020088740835472255,0.24338556255257554,0.25022211759829277,0.6013291702602581,0.012084532104104989,0.5794413542102512,0.6182240347534653,0.2045799815678952,0.0011461811657191622,0.2025376671063976,0.20699408602699623,0.4390570894473176,0.005685658088550382,0.4279729845986576,0.4487397158153756,-0.042489594055356156,-0.16227208081294053,-25.980580146430423,-17.18331202878755,-0.04768445049189518,-0.1902510501548077
0.5,25,3,22.2422,111211,91,random,0.2,0.2,ok,10,0.24706957562325135,0.0020088740835472255,0.24338556255257554,0.25022211759829277,0.6013291702602581,0.012084532104104989,0.5794413542102512,0.6182240347534653,0.11069424893456299,0.0018955947587605089,0.10789458398847797,0.11419709613294572,0.15604866579137033,0.004654720524135171,0.14906912527953844,0.16374176854762645,-0.13637532668868835,-0.4452805044688878,-69.82663824295382,-48.627183793998746,-0.14232753360981482,-0.4691549094739269
0.5,25,3,22.2422,111211,91,random,0.15,0.15,ok,10,0.24706957562325135,0.0020088740835472255,0.24338556255257554,0.25022211759829277,0.6013291702602581,0.012084532104104989,0.5794413542102512,0.6182240347534653,0.09367593836123946,0.0007734518274039113,0.09234503454254323,0.09502531034744448,0.12056237415097593,0.0023548456486004966,0.11771562147479922,0.1246039737882803,-0.15339363726201188,-0.4807667961092822,-100.77517684416759,-55.22386170313558,-0.15787708305574955,-0.5005084132786661
0.5,50,1,48.016,240080,106,lspar,0.5,0.49905,ok,10,0.17937746282398953,0.0018670981743486653,0.17581657537811446,0.18217738831342842,0.6011106065657785,0.014095031321863927,0.5749031020713745,0.6196095995120239,0.1853996428716322,0.000890058049389403,0.18436194520638244,0.18689820461448423,0.6574663958192084,0.008327544608578461,0.6430758313866716,0.6717397249071319,0.006022180047642656,0.05635578925342988,4.117515104899018,4.868236053764554,0.0021845568929540204,0.02346623187464769
0.5,50,1,48.016,240080,106,lspar,0.2,0.19811,ok,10,0.17937746282398953,0.0018670981743486653,0.17581657537811446,0.18217738831342842,0.6011106065657785,0.014095031321863927,0.5749031020713745,0.6196095995120239,0.18329512024641956,0.0007603245153209815,0.18226392549083376,0.1846784104704185,0.7378354547510859,0.003985847056808657,0.7324766457219981,0.7442923978559463,0.0039176574224300265,0.1367248481853074,2.7482525886510096,13.200525496178694,8.653717740533806e-05,0.11286704620997423
0.5,50,1,48.016,240080,106,lspar,0.15,0.14954,ok,10,0.17937746282398953,0.0018670981743486653,0.17581657537811446,0.18217738831342842,0.6011106065657785,0.014095031321863927,0.5749031020713745,0.6196095995120239,0.18027817711403626,0.0007240307726969809,0.17888212989351496,0.1812279399435305,0.7406187123304993,0.004451125275715848,0.73380142044436,0.7462974988375296,0.0009007142900467335,0.13950810576472072,0.6360846436494687,13.347692310948442,-0.0032952584199134605,0.11419182093233615
