network,arm,rewire_seed,n,m,n_comms,Q,p_intra,sd_s,mu_s,delta,mu_intra,mu_inter,r_pb,auc_s,auc_prod,term_sorting,term_scale,term_granularity,term_sum,log_ratio,hb,deg_R2,hub_inter_frac,nonhub_inter_frac,hub_inter_lift,assort_deg,transitivity,avg_local_cc,tri_intra,tri_inter,tri_frac_intra_ge1,tri_frac_inter_ge1,comm_size_mean,comm_size_max_frac,comm_size_gini,seconds
facebook-combined,null,7,4039,88234,9,0.11448903712979457,0.2540177255933087,0.055663416636020153,0.045776004714735814,0.01637778724025079,0.05799354368996699,0.0416157564497162,0.1280800919565345,0.5739206902467722,0.42635575583735175,nan,-0.1169330499149374,-0.8079386064391962,nan,nan,1.349052649528679,0.013504263837745056,0.7717787625511864,0.7284899201217193,1.034580564484608,-0.04780332949497737,0.05389523759322347,0.06327989902123553,4.7755320572881805,6.001002719496817,0.8090393967786552,0.8574619042554807,448.77777777777777,0.1663778162911612,0.23927814915683188,0.1
facebook-combined,null,8,4039,88234,10,0.11463168798930026,0.23807149171521183,0.05572289022986881,0.045776004714735814,0.017563891499301765,0.05915843436447468,0.04159454286517292,0.1342449382939576,0.5832605386665981,0.4157060234912865,nan,-0.11586517000808189,-0.7860975337406346,nan,nan,1.433209368031749,0.01469233253783353,0.7942086027551307,0.7401260823332827,1.0423663035564974,-0.04653544130019051,0.05417446917282288,0.06345133055155991,4.557650195182329,6.082123519961921,0.8019613443777969,0.8568602368060927,403.9,0.13716266402574895,0.2308244615003714,0.1
ca-CondMat,real,,21363,91286,54,0.731159427192281,0.7591196897662292,0.2043764030435079,0.2340227417128585,0.11257658386808375,0.2611402241600606,0.14856364029197686,0.23554456810489915,0.6925891323776119,0.2958969780285326,0.0,0.0,0.0,0.0,0.0,2.4896442710970432,0.07353211497548628,0.35801339052202114,0.15645617342130066,1.48627087940303,0.125282503985448,0.26182397612958924,0.6417316374785192,6.011674387058603,4.391377506935286,0.9678196747333939,0.9446541452544454,395.6111111111111,0.04540560782661611,0.3159937309401335,0.1
ca-CondMat,null,7,21363,91286,36,0.3118561787940357,0.4423460333457485,0.19112384612084005,0.2340227417128585,0.10208520926848685,0.29095096359815953,0.18886575432967267,0.26528421752669074,0.6312003903824367,0.36960269344928054,0.11890162581306314,-0.06704177974267186,-0.1496857320772273,-0.09782588600683602,-0.09782588600683347,1.4611173860378053,0.036614431117177215,0.6240304369170349,0.5041546314248407,1.1190280608260017,-0.0012394504929223499,0.0024965355658099634,0.002196555381190653,0.051783060921248146,0.05504262758810356,0.04477464091134225,0.04728322791026598,593.4166666666666,0.16331975846089034,0.7005609386946279,0.1
ca-CondMat,null,8,21363,91286,38,0.31201662701588506,0.4387091120215586,0.19129136124820997,0.2340227417128585,0.10149939024300003,0.29099342459162236,0.18949403434862233,0.2632997210243551,0.6295667533945019,0.3703763583644979,0.11139286256215869,-0.06616568938404371,-0.1488081177088891,-0.10358094453077413,-0.10358094453077152,1.5245163367297547,0.04309484479743664,0.6304544675852279,0.5052454139811602,1.123222345290314,-0.006812474485838194,0.002400102861551209,0.002299469708153998,0.04896624051138634,0.05353448612358015,0.04407211346384339,0.046410866934696905,562.1842105263158,0.16238356036137247,0.7229654321170149,0.1
ca-HepPh,real,,11204,117619,45,0.6511765764583316,0.8131849446092894,0.16987327891905424,0.09525671872741649,0.021080995336047792,0.09919496603881157,0.07811397070276378,0.04836894821439966,0.4301399250209822,0.5314135696506035,0.0,0.0,0.0,0.0,0.0,0.5014884122655481,0.22318485560247503,0.230066178605817,0.1325924506610462,1.2315184026504162,0.6295030934253208,0.6594474639015313,0.6215823219256369,98.36551450139055,30.282710599371956,0.9829475357045773,0.9664133254448641,248.9777777777778,0.18430917529453766,0.675913364274664,0.2
ca-HepPh,null,7,11204,117619,18,0.15730046496806036,0.2664535491714774,0.14741594995255317,0.09525671872741649,0.09509806538062601,0.1650155670680335,0.06991750168740749,0.2852014777151668,0.6592690401635756,0.346073915359835,1.7743378278432136,-0.14179455843038496,-0.12600658270771758,1.506536686705111,1.5065366867051087,1.882899945955127,0.02991534801417206,0.7679107331147237,0.6388427640822583,1.0468467705724531,-0.07057180520907926,0.05933434472871528,0.06812532477906498,4.840204211869815,8.747145887179963,0.6047862156987875,0.7821949721253144,622.4444444444445,0.12343805783648697,0.4787080011107143,0.2
ca-HepPh,null,8,11204,117619,19,0.1569290910056799,0.2760183303717937,0.14782297399066663,0.09525671872741649,0.09197578851668663,0.16184550366309808,0.06986971514641145,0.2781405645689061,0.6527679851256596,0.3509926225616056,1.749268571836625,-0.13903730480987922,-0.13707783254797876,1.4731534344787671,1.4731534344787665,1.8620624417447038,0.0277311819727728,0.7584457698766576,0.628829059282471,1.0476035536454258,-0.07108083749832687,0.059191963825431196,0.06573832862511346,4.925365778530725,8.740752049228456,0.605975666101956,0.7800573079362096,589.6842105263158,0.14584077115315958,0.5042653939382551,0.2
ca-AstroPh,real,,17903,196972,35,0.6343080993237187,0.7000588916191134,0.1284079766204143,0.09089109111954999,0.03319857080793477,0.10084870724434329,0.06765013643640852,0.11847116773209117,0.5796630624064782,0.4030946969654565,0.0,0.0,0.0,0.0,0.0,1.4956166705922789,0.09550907372132178,0.385994933858711,0.22926202298723034,1.2869024054166895,0.20131706127372703,0.31777791273391154,0.6328232091518626,23.606626925419892,13.454248476641842,0.9905215676036319,0.9874238320920785,511.51428571428573,0.1008210914371893,0.5393669057859418,0.3
ca-AstroPh,null,7,17903,196972,21,0.16686969783247815,0.37292610117174013,0.11515620989389933,0.09089109111954997,0.03884238050039518,0.11524813409970357,0.07640575359930839,0.16311324516014006,0.572672362894329,0.4274098143034304,0.3197750944667812,-0.10892295899009477,-0.05384703105630645,0.15700510442038,0.15700510442037943,1.2869113795596419,0.040524468739479014,0.65767159809713,0.5981919922626743,1.0487944073673687,-0.009815549407266554,0.010323673455744822,0.010106287238555767,0.5957852319756044,0.7109200427474983,0.31835384447832715,0.36270604618025193,852.5238095238095,0.21918114282522483,0.727566276468695,0.3
