network,n,m,algo,sparsifier,target_ret,realized_ret,m_sparse,e_used,n_spar_seeds,n_algo_seeds,Q_base_mean,Q_base_std,Q_base_best,k_base,T_algo_orig,Q_sparse_native,Q_orig_mean,Q_orig_std,Q_orig_best,k_sparse,T_algo_sparse,T_sparsify,dQ_naive,dQ_honest_vs_mean,dQ_honest_vs_best,dQ_bestbest,dQ_vs_matched,Q_matched_best,budget,n_restarts,pooled_sd,T_pipeline,speedup_vs_single,speedup_algo_only
ca-CondMat,21363,91286,labelprop,dspar,0.5,0.5003231601779023,45672.5,,2,3,0.6251559377338439,0.0032247420068935713,0.6274508251637304,1543.0,0.17706741899019107,0.7165690212867646,0.48709079777586645,0.0029568262027247338,0.49275505500356037,2216.0,0.15338533500713916,0.015101813012734056,0.09141308355292066,-0.13806513995797748,-0.14036002738786396,-0.13469577016017004,0.06789585833102385,0.4191949394448426,0.16848714801987322,1,0.0030936856824945506,0.16848714801987322,1.0509253736629562,1.1543960117305194
ca-CondMat,21363,91286,labelprop,lspar,0.5,0.49717371776614155,45385.0,0.5,1,3,0.6251559377338439,0.0032247420068935713,0.6274508251637304,1543.0,0.17706741899019107,0.8332637343640831,0.5089358717647956,0.0015724732877256218,0.5110149621075315,2526.0,0.0851514496607706,0.09601449297042564,0.20810779663023915,-0.11622006596904833,-0.11851495339893481,-0.11643586305619891,0.089740932319953,0.4191949394448426,0.18116594263119623,1,0.0025368911340097554,0.18116594263119623,0.9773769640061509,2.079441039413875
email-Enron,33696,180811,infomap,dspar,0.8,0.7991051429393123,144487.0,,2,3,0.5311165070255809,0.003950224661695713,0.5362590162897451,1225.6666666666667,1.335976206988562,0.5633717316759105,0.48564450717115415,0.0040785961441031195,0.4900854799157972,1081.8333333333333,1.4842948765144683,0.04101336750318296,0.032255224650329595,-0.04547199985442674,-0.050614509118591,-0.04617353637394794,-0.058158969235088454,0.5438034764062426,1.5253082440176513,2,0.004014923497687213,1.5253082440176513,0.8758729340304422,0.9000746604514331
email-Enron,33696,180811,infomap,dspar,0.5,0.5001355006056047,90430.0,,2,3,0.5311165070255809,0.003950224661695713,0.5362590162897451,1225.6666666666667,1.335976206988562,0.6327529815348685,0.3632435315778307,0.0027035345589771598,0.3675424923003825,1440.3333333333333,1.1495449938326299,0.028084156976547092,0.10163647450928759,-0.1678729754477502,-0.17301548471191447,-0.16871652398936265,-0.18055994482841192,0.5438034764062426,1.177629150809177,1,0.003384772812867419,1.177629150809177,1.1344625819347125,1.1621782654494999
email-Enron,33696,180811,infomap,lspar,0.5,0.5054006669948178,91382.0,0.630932,1,3,0.5311165070255809,0.003950224661695713,0.5362590162897451,1225.6666666666667,1.335976206988562,0.6878807840303697,0.40598561308559994,0.0005175152238208172,0.4066957367246667,1570.6666666666667,1.0206278679931227,0.40106899198144674,0.1567642770047888,-0.12513089393998095,-0.1302734032041452,-0.12956327956507846,-0.13781786332064266,0.5438034764062426,1.4216968599745694,2,0.0028170992957965934,1.4216968599745694,0.9397053933230599,1.3089748466456377
email-Enron,33696,180811,louvain,dspar,0.8,0.7991051429393123,144487.0,,2,3,0.6061966670925191,0.0034859664539151638,0.61021583861073,171.33333333333334,0.2840307976778907,0.6647868517874406,0.6001173612831934,0.004740532751698051,0.6082426689780462,124.33333333333333,0.3061328025069088,0.04101336750318296,0.0585901846949215,-0.006079305809325697,-0.010098477327536659,-0.001973169632683791,-0.006733326624742575,0.606850687907936,0.34714617001009174,2,0.004160805984887048,0.34714617001009174,0.818187905312721,0.927802559385908
email-Enron,33696,180811,louvain,dspar,0.5,0.5001355006056047,90430.0,,2,3,0.6061966670925191,0.0034859664539151638,0.61021583861073,171.33333333333334,0.2840307976778907,0.7593199378181675,0.5641195686940509,0.0043028877243223105,0.5706733948079008,77.5,0.19145285034513412,0.028084156976547092,0.15312327072564846,-0.04207709839846818,-0.046096269916679145,-0.03954244380282923,-0.04273111921388506,0.606850687907936,0.21953700732168122,1,0.003915788865985084,0.21953700732168122,1.2937718389397037,1.4835548134481429
email-Enron,33696,180811,louvain,lspar,0.5,0.5054006669948178,91382.0,0.630932,1,3,0.6061966670925191,0.0034859664539151638,0.61021583861073,171.33333333333334,0.2840307976778907,0.7973224205678249,0.5776745327595942,0.0017247972069605235,0.57997886650785,367.6666666666667,0.1757731973193586,0.40106899198144674,0.1911257534753058,-0.02852213433292483,-0.03254130585113579,-0.03023697210288001,-0.02917615514834171,0.606850687907936,0.5768421893008053,3,0.002750171587643277,0.5768421893008053,0.49238908482433735,1.6158936744027086
email-Enron,33696,180811,labelprop,dspar,0.8,0.7991051429393123,144487.0,,2,3,0.30974584289697915,0.006711906754044637,0.3188679128867562,896.0,0.20431455998914316,0.36360401579373886,0.3140080814658164,0.04271736591329164,0.35441179352417596,936.0,0.35211579229993123,0.04101336750318296,0.053858172896759704,0.004262238568837229,-0.00485983142093982,0.035543880637419756,0.005609832599880793,0.3083982488659356,0.3931291598031142,2,0.03057632288916573,0.3931291598031142,0.5197135722302243,0.5802482150959836
email-Enron,33696,180811,labelprop,dspar,0.5,0.5001355006056047,90430.0,,2,3,0.30974584289697915,0.006711906754044637,0.3188679128867562,896.0,0.20431455998914316,0.6453214612807295,0.45441577813627143,0.030352074688608947,0.49408150244647236,1281.3333333333333,0.7325573698229467,0.028084156976547092,0.3355756183837504,0.14466993523929228,0.13554786524951523,0.17521358955971617,0.14601752927033584,0.3083982488659356,0.7606415267994938,4,0.021980652062414868,0.7606415267994938,0.2686082113460534,0.278905882877848
