network,algo,arm,target_ret,spar_seed,algo_seed,realized_ret,m_sparse,Q_native,Q_orig,k,t_detect
ca-HepTh,labelprop,dspar,0.8,201,300,0.800331,19853,0.6807477068476689,0.6042701392638327,826,0.033814749971497804
ca-HepTh,labelprop,dspar,0.8,201,301,0.800331,19853,0.6915189915916763,0.6174208146436181,789,0.05434107198379934
ca-HepTh,labelprop,dspar,0.8,201,302,0.800331,19853,0.687146375352622,0.6113329999532119,798,0.043396690976805985
ca-HepTh,labelprop,dspar,0.5,200,300,0.497541,12342,0.7823073078159427,0.5056569138572821,1170,0.04133730399189517
ca-HepTh,labelprop,dspar,0.5,200,301,0.497541,12342,0.7757271683976922,0.4841299460187774,1194,0.02782806195318699
ca-HepTh,labelprop,dspar,0.5,200,302,0.497541,12342,0.7771060395589544,0.4827102400737954,1185,0.03339016000973061
ca-HepTh,labelprop,dspar,0.5,201,300,0.500887,12425,0.7782702363071896,0.49067923743900776,1156,0.027084606990683824
ca-HepTh,labelprop,dspar,0.5,201,301,0.500887,12425,0.7790018825225089,0.4982218802556735,1162,0.030055250972509384
ca-HepTh,labelprop,dspar,0.5,201,302,0.500887,12425,0.7791283621244675,0.48814764598601895,1147,0.03697781200753525
ca-HepTh,labelprop,lspar,0.5,,300,0.500605,12418,0.850259525648176,0.5212731372732027,1169,0.021376862016040832
ca-HepTh,labelprop,lspar,0.5,,301,0.500605,12418,0.8503375151137992,0.521347283558641,1170,0.01942951901583001
ca-HepTh,labelprop,lspar,0.5,,302,0.500605,12418,0.8542881080853475,0.5311054905147957,1156,0.024160323024261743
ca-CondMat,infomap,baseline,1.0,,100,1.0,91286,0.6459860399798139,0.6459860399798139,1115,1.1822675430448726
ca-CondMat,infomap,baseline,1.0,,101,1.0,91286,0.6419487551091274,0.6419487551091274,1123,0.8555163710261695
ca-CondMat,infomap,baseline,1.0,,102,1.0,91286,0.6432220948585864,0.6432220948585864,1118,0.9216524540097453
ca-CondMat,infomap,dspar,0.8,200,300,0.800473,73072,0.6951400769197329,0.6124857638731221,1208,0.8175949080032296
ca-CondMat,infomap,dspar,0.8,200,301,0.800473,73072,0.6948464309877197,0.6113756046309361,1220,1.053054249030538
ca-CondMat,infomap,dspar,0.8,200,302,0.800473,73072,0.6956726998895633,0.6140828192937837,1216,1.0822607390000485
ca-CondMat,infomap,dspar,0.8,201,300,0.79986,73016,0.6950552851228772,0.6117064044917672,1215,1.0883714919909835
ca-CondMat,infomap,dspar,0.8,201,301,0.79986,73016,0.6954837866073657,0.6126226156899687,1218,0.8722811709740199
ca-CondMat,infomap,dspar,0.8,201,302,0.79986,73016,0.6944622018228991,0.6089005458469429,1216,0.9451406539883465
ca-CondMat,infomap,dspar,0.5,200,300,0.500624,45700,0.7575356118535438,0.5317344211642139,1608,1.0011026809806935
ca-CondMat,infomap,dspar,0.5,200,301,0.500624,45700,0.7579453981105994,0.5353904927869467,1600,0.8720746400067583
ca-CondMat,infomap,dspar,0.5,200,302,0.500624,45700,0.7575540881210857,0.5325878165583217,1602,0.9860899240011349
ca-CondMat,infomap,dspar,0.5,201,300,0.500022,45645,0.7596943585869149,0.5322183687520874,1588,0.6579382920172065
ca-CondMat,infomap,dspar,0.5,201,301,0.500022,45645,0.7581665194180467,0.5276865184992873,1614,0.7462807539850473
ca-CondMat,infomap,dspar,0.5,201,302,0.500022,45645,0.7584084254505689,0.5295893668020033,1607,0.7076577809639275
ca-CondMat,infomap,lspar,0.5,,300,0.497174,45385,0.8708484946383558,0.5534148870516927,1963,0.5999997180188075
ca-CondMat,infomap,lspar,0.5,,301,0.497174,45385,0.8698086510391109,0.5514056835023585,1962,0.4862673710449599
ca-CondMat,infomap,lspar,0.5,,302,0.497174,45385,0.8704396113847546,0.552958182396136,1970,0.652644858986605
ca-CondMat,louvain,baseline,1.0,,100,1.0,91286,0.7262320988899674,0.7262320988899674,52,0.1576140340184793
ca-CondMat,louvain,baseline,1.0,,101,1.0,91286,0.7226825004166774,0.7226825004166774,57,0.15489809797145426
ca-CondMat,louvain,baseline,1.0,,102,1.0,91286,0.7235309392121032,0.7235309392121032,55,0.15332834603032097
ca-CondMat,louvain,dspar,0.8,200,300,0.800473,73072,0.7697269896079055,0.7057717841783709,65,0.12101669702678919
ca-CondMat,louvain,dspar,0.8,200,301,0.800473,73072,0.769431067627406,0.7059203002745119,67,0.13618275994667783
ca-CondMat,louvain,dspar,0.8,200,302,0.800473,73072,0.7703470883707526,0.7053328257877401,68,0.10362546797841787
ca-CondMat,louvain,dspar,0.8,201,300,0.79986,73016,0.7689734250744664,0.7032388826293602,64,0.10676413599867374
ca-CondMat,louvain,dspar,0.8,201,301,0.79986,73016,0.770782336018537,0.7078791724586877,64,0.12533935502870008
ca-CondMat,louvain,dspar,0.8,201,302,0.79986,73016,0.7713855718388963,0.7071718990433932,65,0.1248994679772295
