dataset,n,m,k_gt,condition,seed,true_retention,resolution,n_clusters,AMI,ARI,NMI
email-Eu-core,986,16064,42,dspar_paper_08,1,0.444,1.0,9,0.5719340154682206,0.35253903340774273,0.5996352943232552
email-Eu-core,986,16064,42,dspar_paper_08,2,0.4451,1.0,9,0.5705856185808308,0.3831074637206398,0.5982591175137197
email-Eu-core,986,16064,42,dspar_paper_08,3,0.4418,1.0,9,0.5721085770654881,0.3719128047734803,0.5995714609798722
email-Eu-core,986,16064,42,dspar_paper_08,4,0.4452,1.0,8,0.5348890722293795,0.31773056596697324,0.5621017785145701
email-Eu-core,986,16064,42,dspar_paper_08,5,0.4401,1.0,9,0.554848088069965,0.3413844556147419,0.5835671241476247
email-Eu-core,986,16064,42,dspar_paper_08,6,0.4449,1.0,8,0.5597517800952314,0.34228322182850224,0.5854483916441742
email-Eu-core,986,16064,42,dspar_paper_08,7,0.4396,1.0,9,0.589874650595287,0.40635936643544734,0.6164477840756124
email-Eu-core,986,16064,42,dspar_paper_08,8,0.4446,1.0,8,0.561420546546779,0.355111423559395,0.5869966296539033
email-Eu-core,986,16064,42,dspar_paper_08,9,0.443,1.0,9,0.5650830232369337,0.3925968084428441,0.593110566713883
email-Eu-core,986,16064,42,dspar_cal_09,0,0.9011,1.0,7,0.5429617493492503,0.3061853848562054,0.5665915107623476
email-Eu-core,986,16064,42,dspar_cal_09,1,0.9003,1.0,8,0.5788083218362996,0.3383340249800531,0.6034720267611202
email-Eu-core,986,16064,42,dspar_cal_09,2,0.8989,1.0,8,0.5838830956054409,0.3416136581932979,0.608241375721087
email-Eu-core,986,16064,42,dspar_cal_09,3,0.8968,1.0,7,0.5365769475583824,0.25508236959568775,0.560706749806272
email-Eu-core,986,16064,42,dspar_cal_09,4,0.8999,1.0,6,0.49888465411107863,0.22973380123164472,0.5213367883241746
email-Eu-core,986,16064,42,dspar_cal_09,5,0.8973,1.0,8,0.5692335667142512,0.3307679022971715,0.5942203171995956
email-Eu-core,986,16064,42,dspar_cal_09,6,0.8995,1.0,8,0.5592708771788464,0.33304595910746937,0.5850383866091028
email-Eu-core,986,16064,42,dspar_cal_09,7,0.9034,1.0,7,0.5391868790683733,0.28786205865751563,0.5630741868988899
email-Eu-core,986,16064,42,dspar_cal_09,8,0.9015,1.0,7,0.5480567254557696,0.285494931878443,0.5715449000325031
email-Eu-core,986,16064,42,dspar_cal_09,9,0.9017,1.0,7,0.5328630099171615,0.26969227318610384,0.5571495733890144
