network,n,m,sampler,alpha,rep,sparsify_seed,leiden_seed,m_sparse,retention,weight_sum_ratio,Q_P0_orig,Q_P0_sparse_w,dQ_fixed_w,Q_sparse_leiden_w,Q_orig_of_Pw,Q_base_mean,Q_base_std,Q_base_best,transfer_vs_mean,transfer_vs_best,nc_P0,nc_Pw,nc_base_mean,t_sparsify,t_leiden_sparse,t_leiden_orig_mean,ami_Pw,ari_Pw,ami_base_mean,ari_base_mean,ami_base_std,ari_base_std,nc_Pw_orig_labels
email-Eu-core-labeled,986,16064,paper,0.8,4,204,304,7136,0.4442231075697211,0.9992641939191035,0.41585277609990806,0.4144928213055133,-0.0013599547943947687,0.48355278971400006,0.37031180130387314,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.04573663412522727,-0.046118575219788294,8,9,8.0,0.0025344030000269413,0.04501645395066589,0.058127809409052135,0.5336773910733955,0.389106798558654,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,9
email-Eu-core-labeled,986,16064,paper,1.0,0,200,300,8214,0.5113296812749004,1.0143202905376203,0.41585277609990806,0.4104503845561277,-0.0054023915437803605,0.4788269850408322,0.3895342648175972,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.02651417061150324,-0.026896111706064263,8,8,8.0,0.002945970045402646,0.046494106063619256,0.058127809409052135,0.5274989219717898,0.34172334016877665,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,8
email-Eu-core-labeled,986,16064,paper,1.0,1,201,301,8148,0.5072211155378487,0.9997769265642551,0.41585277609990806,0.40689381433008465,-0.008958961769823415,0.4789722319827425,0.38778202948601515,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.02826640594308527,-0.028648347037646293,8,8,8.0,0.0029571170452982187,0.048683698987588286,0.058127809409052135,0.5123883716261133,0.29032343026910734,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,8
email-Eu-core-labeled,986,16064,paper,1.0,2,202,302,8165,0.5082793824701195,1.0014737128765614,0.41585277609990806,0.42147956863031966,0.005626792530411595,0.49006767568321624,0.3940616103346821,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.021986825094418294,-0.022368766188979317,8,9,8.0,0.0030110860243439674,0.04917854897212237,0.058127809409052135,0.5236639663152696,0.3145971461292974,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,9
email-Eu-core-labeled,986,16064,paper,1.0,3,203,303,8183,0.5093999003984063,1.0009684635316511,0.41585277609990806,0.4218340061924312,0.00598123009252316,0.4960073767176832,0.4063952013007482,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.009653234128352228,-0.01003517522291325,8,7,8.0,0.0029404480010271072,0.047031103051267564,0.058127809409052135,0.5180175117830061,0.2884550634794414,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,7
email-Eu-core-labeled,986,16064,paper,1.0,4,204,304,8171,0.5086528884462151,1.0021186537817952,0.41585277609990806,0.41727557545437083,0.001422799354462767,0.4881178965563832,0.39276869698434846,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.023279738444751952,-0.023661679539312974,8,8,8.0,0.002931092050857842,0.04745202406775206,0.058127809409052135,0.5346324667399801,0.3334088899738428,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,8
email-Eu-core-labeled,986,16064,calibrated,0.9,0,200,300,14446,0.8992778884462151,0.9991711562799843,0.41585277609990806,0.4154552857587153,-0.00039749034119274107,0.4481913782270853,0.4151937986971438,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.0008546367319566262,-0.0012365778265176486,8,6,8.0,0.002812855993397534,0.05309763294644654,0.058127809409052135,0.4946729470759046,0.2319553329050999,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,6
email-Eu-core-labeled,986,16064,calibrated,0.9,1,201,301,14505,0.9029506972111554,1.0048822346055992,0.41585277609990806,0.4136954704107196,-0.0021573056891884823,0.44738864428947417,0.412608975669781,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.0034394597593194187,-0.003821400853880441,8,8,8.0,0.002766242017969489,0.06115913495887071,0.058127809409052135,0.5476718635688497,0.3132737469641145,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,8
email-Eu-core-labeled,986,16064,calibrated,0.9,2,202,302,14415,0.8973481075697212,0.9971757054498542,0.41585277609990806,0.41898825846387727,0.003135482363969211,0.4521260384020625,0.41535841080709535,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.0006900246220050699,-0.0010719657165660923,8,6,8.0,0.002838197979144752,0.05131245101802051,0.058127809409052135,0.5024426549324553,0.234763642567356,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,6
email-Eu-core-labeled,986,16064,calibrated,0.9,3,203,303,14474,0.9010209163346613,1.0014648169272806,0.41585277609990806,0.4131355230608433,-0.002717253039064782,0.44758150005205805,0.4135052055535329,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.002543229875567543,-0.0029251709701285655,8,8,8.0,0.002819706918671727,0.054491598973982036,0.058127809409052135,0.5697473645156743,0.3158227950053944,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,8
email-Eu-core-labeled,986,16064,calibrated,0.9,4,204,304,14465,0.900460657370518,0.9998560931093305,0.41585277609990806,0.4172270813071155,0.001374305207207438,0.4466933247338027,0.4118275539990187,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.004220881430081702,-0.004602822524642725,8,8,8.0,0.002803041017614305,0.05443458107765764,0.058127809409052135,0.5762152774193355,0.37163047976686286,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,8
wiki-Vote,7066,100736,paper,0.8,0,200,300,33457,0.33212555590851334,0.99898791099213,0.42397618528227865,0.41741524277151604,-0.006560942510762613,0.4916316594197815,0.3947851799951847,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.029639926134359507,-0.032018596573863634,7,11,6.4,0.014668748015537858,0.3297537920298055,0.39910577340051534,,,,,,,
