network,n,m,sampler,alpha,weighted,rep,sparsify_seed,leiden_seed,m_sparse,retention,Q_P0_orig,Q_P0_sparse,dQ_fixed,Q_sparse_leiden,Q_orig_of_P,Q_base_mean,Q_base_std,Q_base_best,transfer_vs_mean,transfer_vs_best,nc_P0,nc_P,nc_base_mean,t_leiden,ami_P,ari_P,ami_base_mean,ari_base_mean
ca-HepTh,8638,24806,paper,1.0,False,1,201,301,13346,0.5380149963718455,0.7618818232012058,0.8104747870760596,0.04859296387485379,0.856169710481923,0.6770938182952297,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.0842727750850587,-0.08526594333001247,47,269,48.8,0.21867043001111597,,,,
ca-HepTh,8638,24806,paper,1.0,False,2,202,302,13446,0.5420462791260179,0.7618818232012058,0.8117768837039645,0.049895060502758715,0.856562100451983,0.6735846245231129,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.0877819688571756,-0.08877513710212936,47,266,48.8,0.21676260500680655,,,,
ca-HepTh,8638,24806,paper,1.0,False,3,203,303,13401,0.5402322018866403,0.7618818232012058,0.8119955625246646,0.05011373932345886,0.8552426745437729,0.671923794045323,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.08944279933496546,-0.09043596757991923,47,295,48.8,0.22104273701552302,,,,
ca-HepTh,8638,24806,paper,1.0,False,4,204,304,13415,0.5407965814722244,0.7618818232012058,0.8104623178558724,0.04858049465466663,0.8570026793122811,0.6733136992777732,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.08805289410251527,-0.08904606234746903,47,268,48.8,0.22023823100607842,,,,
ca-HepTh,8638,24806,calibrated,0.9,False,0,200,300,22387,0.9024832701765702,0.7618818232012058,0.7751673059544667,0.013285482753260913,0.7746638957563179,0.7527144626011463,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.008652130779142175,-0.009645299024095944,47,52,48.8,0.24942131293937564,,,,
ca-HepTh,8638,24806,calibrated,0.9,False,1,201,301,22364,0.9015560751431105,0.7618818232012058,0.7745087820877902,0.012626958886584383,0.7740891767072313,0.7558731447396794,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.005493448640609078,-0.006486616885562846,47,49,48.8,0.25022494001314044,,,,
ca-HepTh,8638,24806,calibrated,0.9,False,2,202,302,22304,0.8991373054906071,0.7618818232012058,0.7753227161661653,0.013440892964959539,0.7774543007369539,0.7561508995688995,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.005215693811388977,-0.0062088620563427455,47,54,48.8,0.24884529691189528,,,,
ca-HepTh,8638,24806,calibrated,0.9,False,3,203,303,22309,0.8993388696283158,0.7618818232012058,0.7740241549362584,0.012142331735052636,0.775971016670868,0.753313369572603,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.008053223807685472,-0.00904639205263924,47,51,48.8,0.2430737529648468,,,,
ca-HepTh,8638,24806,calibrated,0.9,False,4,204,304,22343,0.9007095057647343,0.7618818232012058,0.7754268487707052,0.013545025569499436,0.7762896215573749,0.7538237154081702,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.007542877972118278,-0.008536046217072046,47,50,48.8,0.24572585301939398,,,,
ca-HepTh,8638,24806,calibrated_matched,0.5369,True,0,200,300,13259,0.5345077803757156,0.7618818232012058,0.7631824823499117,0.0013006591487059183,0.8569361470536122,0.6373089821861642,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.12405761119412428,-0.12505077943907805,47,150,48.8,0.1996444599935785,,,,
ca-HepTh,8638,24806,calibrated_matched,0.5369,False,0,200,300,13259,0.5345077803757156,0.7618818232012058,0.8271274224986138,0.06524559929740803,0.8724262338295856,0.6610507308543695,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.10031586252591895,-0.10130903077087272,47,162,48.8,0.21395649097394198,,,,
ca-HepTh,8638,24806,calibrated_matched,0.5369,True,1,201,301,13350,0.5381762476820124,0.7618818232012058,0.7599106758761984,-0.001971147325007361,0.8562504004825425,0.6377752562822269,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.12359133709806158,-0.12458450534301535,47,138,48.8,0.19762563100084662,,,,
ca-HepTh,8638,24806,calibrated_matched,0.5369,False,1,201,301,13350,0.5381762476820124,0.7618818232012058,0.8251391827631189,0.06325735956191314,0.8707481799436093,0.655754303642171,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.10561228973811743,-0.1066054579830712,47,151,48.8,0.21177891606930643,,,,
ca-HepTh,8638,24806,calibrated_matched,0.5369,True,2,202,302,13249,0.5341046521002983,0.7618818232012058,0.763695747417686,0.0018139242164801894,0.8579662214134631,0.6377412798134129,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.12362531356687556,-0.12461848181182933,47,132,48.8,0.1976621689973399,,,,
ca-HepTh,8638,24806,calibrated_matched,0.5369,False,2,202,302,13249,0.5341046521002983,0.7618818232012058,0.828078876537697,0.06619705333649117,0.8748612200639105,0.6663906447614064,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.09497594861888203,-0.0959691168638358,47,140,48.8,0.20870910200756043,,,,
ca-HepTh,8638,24806,calibrated_matched,0.5369,True,3,203,303,13312,0.5366443602354269,0.7618818232012058,0.7643503833649528,0.002468560163746969,0.8588469409378333,0.6457874998239171,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.1155790935563713,-0.11657226180132507,47,129,48.8,0.1936686410335824,,,,
ca-HepTh,8638,24806,calibrated_matched,0.5369,False,3,203,303,13312,0.5366443602354269,0.7618818232012058,0.8274491778492225,0.06556735464801666,0.8721372305288826,0.6643552118109016,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.09701138156938682,-0.09800454981434059,47,141,48.8,0.21097536897286773,,,,
ca-HepTh,8638,24806,calibrated_matched,0.5369,True,4,204,304,13344,0.5379343707167621,0.7618818232012058,0.7598778011359719,-0.002004022065233868,0.8554332989318973,0.6475639700673207,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.11380262331296775,-0.11479579155792152,47,118,48.8,0.19432528095785528,,,,
ca-HepTh,8638,24806,calibrated_matched,0.5369,False,4,204,304,13344,0.5379343707167621,0.7618818232012058,0.8265196661241148,0.06463784292290897,0.8714525850093302,0.6699000839272573,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.09146650945303114,-0.09245967769798491,47,127,48.8,0.22132105799391866,,,,
ca-CondMat,21363,91286,paper,0.8,False,0,200,300,43063,0.47173717766141576,0.731159427192281,0.7909781611307044,0.05981873393842341,0.8300407942373739,0.6608146052621006,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.06997561228164761,-0.07164966963408037,54,287,55.2,0.6205985459964722,,,,
ca-CondMat,21363,91286,paper,0.8,False,1,201,301,43024,0.47130994895164646,0.731159427192281,0.7919541289952273,0.06079470180294633,0.8307669364637025,0.656704875316754,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.07408534222699414,-0.0757593995794269,54,289,55.2,0.6147531250026077,,,,
ca-CondMat,21363,91286,paper,0.8,False,2,202,302,43107,0.47221917928269397,0.731159427192281,0.7911867836233707,0.060027356431089696,0.8302495813009262,0.6593910179550434,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.07139919958870478,-0.07307325694113753,54,290,55.2,0.603947318973951,,,,
ca-CondMat,21363,91286,paper,0.8,False,3,203,303,43159,0.47278881756238633,0.731159427192281,0.7936728462182723,0.06251341902599128,0.83072599387555,0.6579821074794145,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.07280811006433363,-0.07448216741676639,54,299,55.2,0.6057117088930681,,,,
