dataset,variant,n,m,k,Q_orig,delta,ratio_pred,dQ_fixed_mean,dQ_fixed_std,dF_obs_mean,dF_obs_std,mdG_obs_mean,mdG_obs_std,retention_mean,ratio_obs_mean
cit-HepTh,LCC(seed1234),27400,352021,33,0.6621119610002679,0.024404811792183775,0.710072345448482,0.044288839485872256,0.000834238694789251,0.031086578689241584,0.0008406614207202414,0.013202260796630654,7.057044414505782e-05,0.4332465960837563,0.8448483877048272
email-Enron,FULL(seed42),36692,183831,1253,0.6168073807445413,0.1674415766149615,0.3142685107036384,0.15032538663137768,0.00046066138215523206,0.1129965925258178,0.00044772277663169413,0.037328794105548374,0.0001658191411839057,0.3830850074252982,0.49880198593695113
email-Enron,LCC(seed42),33696,180811,192,0.612428927514086,0.15007964500757942,0.3380421421504586,0.14288169484331623,0.0011776207960443755,0.10861299585886106,0.0011278497128555558,0.03426869898445615,0.00018364642318966038,0.38860080415461445,0.5190222789557832
email-Enron,LCC(seed7),33696,180811,157,0.6187122594501528,0.1601842074413582,0.3102655502579412,0.14155808473242554,0.0010164532193911893,0.12369558585802261,0.0010236486205523335,0.01786249887440336,0.00022200037247468367,0.38860080415461445,0.48420388739918874
email-Enron,LCC(seed1234),33696,180811,195,0.615324732900731,0.152295639554468,0.33026730081468003,0.14172984161375304,0.0010292929789145022,0.11078185560419503,0.001040855765097614,0.03094798600955883,0.0001859460033053477,0.38860080415461445,0.5113366245988972
facebook-combined,FULL(seed42),4039,88234,14,0.8355423244388935,-0.0013638792983321768,1.029829465351772,0.02534327311591499,0.0005496581727663567,-0.0005689575230310773,0.0005866006077986181,0.02591223063894609,0.0002416176460557581,0.4359849944465853,1.0151281128062726
facebook-combined,LCC(seed42),4039,88234,14,0.8355423244388935,-0.0013638792983321768,1.029829465351772,0.02534327311591499,0.0005496581727663567,-0.0005689575230310773,0.0005866006077986181,0.02591223063894609,0.0002416176460557581,0.4359849944465853,1.0151281128062726
facebook-combined,LCC(seed7),4039,88234,15,0.8355312927926345,-0.0016165880498485719,1.0353645127291264,0.025649152551652975,0.0005221004690389391,-0.0008062216182688209,0.0005507321320556418,0.026455374169921986,0.0002305340299368526,0.4359849944465853,1.0212776700578388
facebook-combined,LCC(seed1234),4039,88234,14,0.8355591020874789,-0.0010006197221350335,1.0218777867872373,0.025377854225800113,0.0005533144106373762,-0.0005403869649543425,0.0005906473749804748,0.025918241190754625,0.00024190477913356654,0.4359849944465853,1.0143686281645632
wiki-Vote,FULL(seed42),7115,100762,29,0.4257214902260574,0.05715395319067074,0.3769752276938802,0.0827651336514724,0.0015075515272645929,0.0854715928846794,0.0016036626520161985,-0.002706459233207395,0.0002255050385881597,0.33172823088068915,0.6769746855962075
wiki-Vote,LCC(seed42),7066,100736,7,0.42397618528227865,0.05132495596724757,0.4063906046536022,0.07338185696083406,0.0012320956782323057,0.07256580821197205,0.0013880301557556306,0.0008160487488620416,0.00022970759137557666,0.3327638580050826,0.6975639194391761
wiki-Vote,LCC(seed7),7066,100736,13,0.4168136969989349,0.05238346990058635,0.39563554235563064,0.0699307987003546,0.0017655427391676981,0.07318386909251506,0.0017131325802445222,-0.0032530703921603565,0.000401521590000075,0.3327638580050826,0.6939184942270226
wiki-Vote,LCC(seed1234),7066,100736,6,0.42698916959109784,0.052125604323282976,0.4001137937158728,0.0745009528311333,0.0019046145987562304,0.07392053941980374,0.0019041812443795533,0.0005804134113293558,0.0001422617531750318,0.3327638580050826,0.6943381842660103
email-Eu-core,FULL(seed42),986,16064,8,0.41585277609990806,0.03400028641615006,0.5496212284158579,0.08186661543420841,0.0024870920072540335,0.07341094267703072,0.0027108359693087114,0.008455672757177627,0.0008638635621562226,0.4428971613545817,0.731389863720039
email-Eu-core,LCC(seed42),986,16064,8,0.41585277609990806,0.03400028641615006,0.5496212284158579,0.08186661543420841,0.0024870920072540335,0.07341094267703072,0.0027108359693087114,0.008455672757177627,0.0008638635621562226,0.4428971613545817,0.731389863720039
email-Eu-core,LCC(seed7),986,16064,7,0.4139723902881998,0.03294183254626736,0.5554023711425522,0.07837628650978302,0.001960097376794581,0.07064963834002978,0.0019177234542559326,0.007726648169753289,0.0008459545728563991,0.4428971613545817,0.7326709313178276
email-Eu-core,LCC(seed1234),986,16064,7,0.4173915390324906,0.03363960046846582,0.5478965771057434,0.08141908201549175,0.002202650797318733,0.07063131621134928,0.002130060736594456,0.010787765804142497,0.0013828891823073634,0.4428971613545817,0.7331300902489591
