dataset,n_full,m_full,n_lcc,m_lcc,n_comm,seed,alpha,Q_orig,m_sparse,realized_retention,Q_fixed_sparse,dQ_fixed,F_orig,F_sparse,dF_obs,G_orig,G_sparse,dG_obs,dQ_reconstructed,recon_abs_err,Q_leiden_sparse,dQ_leiden_sparse,n1,n2,preserved_intra,preserved_inter,intra_rate,inter_rate,ratio_observed,ratio_predicted,mu_intra,mu_inter,delta
cit-HepPh,34546,420877,34401,420784,26,80007,0.8,0.7314332495060649,193289,0.45935444313471996,0.7435324160457868,0.012099166539721873,0.8171033119130005,0.8255462028361676,0.00844289092316719,0.08567006240693543,0.08201378679038093,-0.0036562756165545024,0.012099166539721692,1.8041124150158794e-16,0.7483477913026699,0.01691454179660501,343824,76960,159569,33720,0.46410081902368655,0.43814968814968813,0.9440829884149075,0.868494787222272,0.0837693435773289,0.07275323822594167,0.011016105351387237
cit-HepPh,34546,420877,34401,420784,26,80008,0.8,0.7314332495060649,193366,0.45953743488345566,0.7439073337449879,0.012474084238922933,0.8171033119130005,0.8259983657933659,0.008895053880365489,0.08567006240693543,0.08209103204837832,-0.0035790303585571115,0.0124740842389226,3.3306690738754696e-16,0.7530837703474151,0.021650520841350218,343824,76960,159720,33646,0.4645399972078738,0.4371881496881497,0.941120575872642,0.868494787222272,0.0837693435773289,0.07275323822594167,0.011016105351387237
cit-HepPh,34546,420877,34401,420784,26,80009,0.8,0.7314332495060649,193371,0.45954931746454236,0.7437966049286182,0.01236335542255329,0.8171033119130005,0.8258580655837742,0.008754753670773718,0.08567006240693543,0.08206146065515615,-0.0036086017517792807,0.012363355422552999,2.914335439641036e-16,0.7499566298179765,0.018523380311911586,343824,76960,159697,33674,0.4644731025175671,0.4375519750519751,0.942039426352845,0.868494787222272,0.0837693435773289,0.07275323822594167,0.011016105351387237
cit-HepTh,27769,352285,27400,352021,26,80000,0.8,0.6566588620689939,152817,0.43411330574028256,0.7023775178702637,0.04571865580126977,0.7344249348760443,0.7683830987390147,0.03395816386297035,0.07776607280705047,0.06600558086875093,-0.011760491938299547,0.045718655801269895,1.249000902703301e-16,0.7160004967823566,0.05934163471336262,258533,93488,117422,35395,0.45418573257572536,0.3786047407153859,0.8335901230720892,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464
cit-HepTh,27769,352285,27400,352021,26,80001,0.8,0.6566588620689939,152681,0.43372696515264714,0.7040377629589768,0.04737890088998287,0.7344249348760443,0.77023991197333,0.03581497709728565,0.07776607280705047,0.0662021490143535,-0.011563923792696967,0.04737890088998262,2.498001805406602e-16,0.7153868585513489,0.05872799648235494,258533,93488,117601,35080,0.45487810066799983,0.3752353243196988,0.8249140237102124,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464
cit-HepTh,27769,352285,27400,352021,26,80002,0.8,0.6566588620689939,152245,0.4324884026805219,0.7043785491618771,0.04771968709288321,0.7344249348760443,0.7704095372590233,0.03598460238297896,0.07776607280705047,0.06603098809714612,-0.01173508470990435,0.04771968709288331,9.71445146547012e-17,0.7151965356584189,0.058537673589424966,258533,93488,117291,34954,0.45367902743556915,0.3738875577614239,0.8241235215893309,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464
cit-HepTh,27769,352285,27400,352021,26,80003,0.8,0.6566588620689939,152323,0.43270998037048924,0.7034807410893659,0.04682187902037194,0.7344249348760443,0.7694898341025321,0.03506489922648781,0.07776607280705047,0.06600909301316596,-0.011756979793884514,0.046821879020372326,3.885780586188048e-16,0.7110308995959209,0.054372037526926986,258533,93488,117211,35112,0.4533695891820387,0.37557761423926067,0.8284137780764499,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464
cit-HepTh,27769,352285,27400,352021,26,80004,0.8,0.6566588620689939,152764,0.43396274654068934,0.7028314353897422,0.04617257332074831,0.7344249348760443,0.768957345971564,0.03453241109551963,0.07776607280705047,0.06612591058182157,-0.0116401622252289,0.04617257332074853,2.220446049250313e-16,0.7106010203833386,0.05394215831434468,258533,93488,117469,35295,0.4543675275496745,0.37753508471675506,0.8309024343194956,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464
cit-HepTh,27769,352285,27400,352021,26,80005,0.8,0.6566588620689939,152367,0.4328349729135478,0.7026000889789391,0.045941226909945176,0.7344249348760443,0.7687097599873989,0.034284825111354555,0.07776607280705047,0.06610967100845956,-0.011656401798590912,0.04594122690994547,2.914335439641036e-16,0.715879729084172,0.059220867015178036,258533,93488,117126,35241,0.4530408110376625,0.37695747047749445,0.8320607355750053,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464
cit-HepTh,27769,352285,27400,352021,26,80006,0.8,0.6566588620689939,152349,0.4327838396004784,0.7045352657696933,0.047876403700699344,0.7344249348760443,0.7705925211192722,0.03616758624322791,0.07776607280705047,0.06605725534957896,-0.011708817457471515,0.04787640370069943,8.326672684688674e-17,0.7175378130136488,0.0608789509446549,258533,93488,117399,34950,0.4540967690778353,0.3738447715214787,0.8232711549141173,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464
