network,chain,chain_seed,spe,spe_nom,accepted,ami_P0,final,stalled,fresh_n,fresh_m,fresh_n_comms,fresh_Q,fresh_p_intra,fresh_sd_s,fresh_mu_s,fresh_delta,fresh_mu_intra,fresh_mu_inter,fresh_r_pb,fresh_auc_s,fresh_auc_prod,fresh_hb,fresh_deg_R2,fresh_hub_inter_frac,fresh_nonhub_inter_frac,fresh_hub_inter_lift,fresh_assort_deg,fresh_transitivity,fresh_avg_local_cc,fresh_tri_intra,fresh_tri_inter,fresh_tri_frac_intra_ge1,fresh_tri_frac_inter_ge1,fresh_comm_size_mean,fresh_comm_size_max_frac,fresh_comm_size_gini,seconds
ca-GrQc,up,1,1.0,1.0,13422,0.02568075677736163,0,0,4158,13422,78,0.40277475252245676,0.6014006854418119,0.3066693922930899,0.3097898971837282,0.1100353146064176,0.3536498981630408,0.24361458355662322,0.17567577983109028,0.4747775511054713,0.506947854820633,0.40923967880949647,0.2756628131410107,0.3922125668449198,0.40373756386125303,0.983977022839722,0.3359150079928488,0.02712805865241599,0.0063516181087783915,0.6852081268582755,0.12186915887850468,0.33597621407333994,0.10467289719626169,53.30769230769231,0.13516113516113515,0.7261380594713929,0.2
ca-GrQc,up,1,1.5,1.5,20133,0.02856611140067543,0,0,4158,13422,90,0.4600503794380676,0.6756817165847117,0.3305175143292902,0.3097898971837282,0.08910348679501756,0.3386877870674051,0.24958430027238754,0.12619932187243682,0.4329175329543971,0.5547197853189615,0.31261400356167124,0.4967873824903192,0.24198034489152606,0.37962386349483124,0.7461199607475448,0.5456461916656806,0.04443683940347228,0.006348112171592081,1.0627412063072004,0.11256604640477831,0.3928768331679347,0.09832299563519412,46.2,0.14983164983164984,0.8072844850622629,0.2
ca-GrQc,up,1,2.0,2.0,26844,0.03271205657297009,0,0,4158,13422,159,0.5217440115098736,0.7791685292802861,0.3483650304767137,0.3097898971837282,0.0424645422805181,0.31916740450897446,0.27670286222845636,0.05056361058108596,0.3977019026559293,0.5950291591144476,0.25620365514899407,0.6946736185315683,0.10957230142566192,0.28500939849624063,0.4961806443101331,0.6906243121579211,0.05886301712450476,0.007431824944961887,1.253968253968254,0.101889338731444,0.39462612354178617,0.0887314439946019,26.150943396226417,0.21693121693121692,0.8625760449659821,0.2
ca-GrQc,up,1,2.5,2.5,33555,0.040672664693704355,0,0,4158,13422,217,0.6110825793453472,0.8071077335717479,0.35888478856028544,0.3097898971837282,0.08351229876548519,0.32589877376723597,0.24238647500175078,0.09181603825040362,0.4748371614037006,0.5218996487885518,0.4683388765243629,0.8375477891363052,0.20415377817057004,0.18716276978417265,1.0583823911183436,0.7749091630594959,0.07102523264844089,0.008973955076051,1.4033047170682176,0.3808420239474701,0.38022708391027416,0.2398609501738123,19.161290322580644,0.20322270322270322,0.8592885182746932,0.2
ca-GrQc,up,1,3.0,3.0,40266,0.04554650302971504,0,0,4158,13422,289,0.6969980485826552,0.8902548055431382,0.3669227149942966,0.3097898971837282,0.07468416607219314,0.3179861255121696,0.24330195943997646,0.0636214931046798,0.4998959995004794,0.49878770245369025,0.6185452247370926,0.9152983744770645,0.1274555659494855,0.10146512136453094,1.1613771936008115,0.8222272925733911,0.07973885459307913,0.013370994566130402,1.4217089296175411,0.8051595383570944,0.42455435601305547,0.38085539714867617,14.387543252595156,0.2703222703222703,0.8379893847021873,0.2
ca-GrQc,up,1,3.2291,3.2291,43341,0.05028957626125208,1,1,4158,13422,311,0.7470095295653679,0.9105945462673223,0.36953369060671687,0.3097898971837282,0.0833751590700528,0.31724409111042046,0.23386893204036766,0.06437647078443774,0.5172928598701795,0.4824320214912998,0.5984074114311487,0.9396202431895702,0.08119047619047619,0.0931468228150076,0.908115476190476,0.8351046600189556,0.08655706632619484,0.017564630243394067,1.5064637538864343,1.0966666666666667,0.46522664048437246,0.4558333333333333,13.369774919614148,0.2453102453102453,0.8305826601646538,0.1
ca-GrQc,up,2,0.0,0.0,0,1.0,0,0,4158,13422,42,0.8513623535140842,0.8959171509462077,0.28700993739820324,0.3097898971837282,0.08723506953795679,0.3188695717586444,0.2316345022206876,0.09281489735988588,0.5235911226462407,0.4671170327863241,0.47820995409767336,0.20120241734161926,0.1005940594059406,0.10618729096989966,0.9664806480648065,0.639186140675376,0.6288944756689877,0.5568782161697932,11.728316008316009,1.6492483894058698,0.9212474012474012,0.7816750178954903,99.0,0.06132756132756133,0.3693052978767266,0.1
ca-GrQc,up,2,0.01,0.01,134,0.7725301295160456,0,0,4158,13422,39,0.8361111505226939,0.8833258828788556,0.2867885007235806,0.3097898971837282,0.09106104805482879,0.32041436456965144,0.22935331651482266,0.10193390232705234,0.5310024034691306,0.4543869774889134,0.5326803678528432,0.19762556576466161,0.12706530291109364,0.11033821060206285,1.0890616192035114,0.6244700137586177,0.5886959840996144,0.5267390395824253,11.134615384615385,1.3812260536398469,0.9116059379217274,0.6558109833971902,106.61538461538461,0.07647907647907648,0.4050147383480718,0.1
ca-GrQc,up,2,0.02,0.02,268,0.7310458149919289,0,0,4158,13422,39,0.8204780021085086,0.8654447921323201,0.28622815472835766,0.3097898971837282,0.08908952523203481,0.32177735677015756,0.23268783153812275,0.10621460393050752,0.530564417010638,0.45176601315938,0.546000607391522,0.17463150593924248,0.1558720249707374,0.12138379942140791,1.158424318470231,0.611892046553176,0.553788846037408,0.4940431898332973,10.673037190082646,1.2408637873754154,0.9003099173553719,0.5980066445182725,106.61538461538461,0.07142857142857142,0.32778332778332797,0.1
ca-GrQc,up,2,0.05,0.05,671,0.647226420303831,0,0,4158,13422,39,0.7761559800327378,0.8210400834450902,0.28528734871517225,0.3097898971837282,0.09062190002261541,0.32600758484982284,0.23538568482720743,0.12176170335223997,0.5327954170073034,0.44466880291831823,0.5794393854626764,0.14721988428042632,0.22020279318920988,0.15265405735204393,1.230458738628466,0.5757048707819145,0.462835481026154,0.4155217207005879,9.387749546279492,0.8476269775187344,0.8740471869328493,0.4338051623646961,106.61538461538461,0.05555555555555555,0.3309159975826643,0.1
