network,graph,arm,n,m,m_arm,n_runs,target_ret,e_used,realized_ret,status,ret_core,frac_core,n_fill,Q_base_mean,Q_base_std,Q_base_best,nc_base,T_leiden_orig,Q_native_mean,Q_native_std,Q_orig_mean,Q_orig_std,Q_orig_best,Q_pre_refine_mean,nc_arm_mean,nc_arm_std,dQ_honest_vs_mean,dQ_honest_vs_best,T_jaccard,T_prep,T_leiden_arm,T_arm_total,budget,n_restarts,Q_matched_best,dQ_vs_matched,pooled_sd,sig_2sd,meanJ,deltaJ,notes
ca-HepTh,real,U_uniform05,8638,24806,12403,6,0.5,,0.5,ok,,,,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.2460641152001699,0.8138111697320829,0.0004890172822321671,0.6207682094387711,0.003119363147910359,0.6238507585776961,,1624.8333333333333,9.28110386155057,-0.14059838394151736,-0.14159155218647113,0.0,0.006643794000410708,0.2622173948332905,0.2688611888337012,0.2688611888337012,2,0.7621034738723506,-0.14133526443357947,0.0023043499674726665,0,,,"uniform random 50% of edges (no J computed, no T_jaccard)"
ca-CondMat,real,A_baseline,21363,91286,91286,5,1.0,,1.0,ok,,,,0.7307902175437482,0.0010974583478194013,0.7324642748961809,55.2,0.7509357559998534,0.7307902175437482,0.0010974583478194013,0.7307902175437482,0.0010974583478194013,0.7324642748961809,,55.2,3.1240998703626612,0.0,-0.0016740573524327562,,,0.7509357559998534,0.7509357559998534,,,,,,,,,
ca-CondMat,real,B_weight,21363,91286,91286,3,1.0,,1.0,ok,,,,0.7307902175437482,0.0010974583478194013,0.7324642748961809,55.2,0.7509357559998534,0.7291436303450736,0.0008731883560045819,0.7291436303450736,0.0008731883560045819,0.7299997491243924,,64.33333333333333,1.247219128924647,-0.0016465871986746095,-0.0033206445511073657,0.04921093899974949,2.844199934770586e-05,0.7206135963336541,0.7698529773327513,0.7698529773327513,2,0.7293820280333824,-0.00023839768830880015,0.0009916836013216298,0,0.22651137325897247,0.17775830796554387,"w=1+J, weighted Leiden, scored unweighted"
ca-CondMat,real,Bshuf_weight,21363,91286,91286,6,1.0,,1.0,ok,,,,0.7307902175437482,0.0010974583478194013,0.7324642748961809,55.2,0.7509357559998534,0.728573985695229,0.0007415581559853669,0.728573985695229,0.0007415581559853669,0.7294995780480567,,53.333333333333336,4.268749491621899,-0.0022162318485191568,-0.003890289200951913,0.04921093899974949,0.0010248444996250328,0.710874946166617,0.7611107296659915,0.7611107296659915,2,0.7293820280333824,-0.0008080423381533475,0.0009365690908595338,0,0.22651137325897247,0.17775830796554387,"J permuted across edges (seeds 500,501) x 3 Leiden seeds"
ca-CondMat,real,C_seed,21363,91286,45385,3,0.5,0.5,0.497174,ok,,,,0.7307902175437482,0.0010974583478194013,0.7324642748961809,55.2,0.7509357559998534,0.72200205684381,0.000714159910162213,0.72200205684381,0.000714159910162213,0.7227887253401781,0.6634735868100281,50.0,2.160246899469287,-0.008788160699938152,-0.010462218052370909,0.04921093899974949,0.053053851000186114,1.1154376256666485,1.217702415666584,1.217702415666584,2,0.7293820280333824,-0.007379971189572343,0.0009258615453947177,0,0.22651137325897247,0.17775830796554387,Leiden on L-Spar@0.5 then optimise on G from that membership
ca-CondMat,real,L_lspar05,21363,91286,45385,3,0.5,0.5,0.497174,ok,,,,0.7307902175437482,0.0010974583478194013,0.7324642748961809,55.2,0.7509357559998534,0.9293203227871233,0.00010250843758751478,0.6634735868100281,0.0006033449825035122,0.6643021411293307,,503.0,1.4142135623730951,-0.06731663073372007,-0.06899068808615283,0.04921093899974949,0.05136122100066132,0.5146930456667178,0.6152652056671286,0.6152652056671286,1,0.7293820280333824,-0.06590844122335426,0.0008855619665248314,0,0.22651137325897247,0.17775830796554387,pure L-Spar deletion (Exp L reproduction)
ca-CondMat,real,D_protected,21363,91286,45643,6,0.5,0.5,0.5,ok,0.497174,0.994347,258,0.7307902175437482,0.0010974583478194013,0.7324642748961809,55.2,0.7509357559998534,0.9266348447494998,0.00014510391527623162,0.6648685024205575,0.0013586031412775358,0.6662692581109244,,497.1666666666667,2.3392781412697,-0.06592171512319067,-0.06759577247562343,0.04921093899974949,0.06729133750013716,0.5248120450000897,0.6413143214999764,0.6413143214999764,1,0.7293820280333824,-0.06451352561282486,0.0012349528980264142,0,0.22651137325897247,0.17775830796554387,L-Spar core (largest e with ret<=0.5) + uniform random fill
ca-CondMat,real,U_uniform05,21363,91286,45643,6,0.5,,0.5,ok,,,,0.7307902175437482,0.0010974583478194013,0.7324642748961809,55.2,0.7509357559998534,0.7651976912208133,0.001678315729064592,0.6442268332165563,0.0015856678205246955,0.6474432830527742,,2450.6666666666665,4.714045207910316,-0.0865633843271919,-0.08823744167962466,0.0,0.026954960999773903,0.7092726348331174,0.7362275958328913,0.7362275958328913,1,0.7293820280333824,-0.0851551948168261,0.001363590345786818,0,,,"uniform random 50% of edges (no J computed, no T_jaccard)"
email-Enron,real,A_baseline,33696,180811,180811,5,1.0,,1.0,ok,,,,0.6070973046936826,0.0018727666339110201,0.6093568592460408,171.2,1.201428551400022,0.6070973046936826,0.0018727666339110201,0.6070973046936826,0.0018727666339110201,0.6093568592460408,,171.2,21.103554203024665,0.0,-0.002259554552358156,,,1.201428551400022,1.201428551400022,,,,,,,,,
email-Enron,real,B_weight,33696,180811,180811,3,1.0,,1.0,ok,,,,0.6070973046936826,0.0018727666339110201,0.6093568592460408,171.2,1.201428551400022,0.6153404750020331,0.003380240928464329,0.6153404750020331,0.003380240928464329,0.6194738289186026,,196.33333333333334,8.498365855987974,0.008243170308350534,0.0059836157559923775,0.2609222820001378,5.927599977439968e-05,1.2168967266667703,1.4778782846666825,1.4778782846666825,2,0.605125368663654,0.010215106338379187,0.0027325156540773743,1,0.1102391233989402,0.07722595456349811,"w=1+J, weighted Leiden, scored unweighted"
email-Enron,real,Bshuf_weight,33696,180811,180811,6,1.0,,1.0,ok,,,,0.6070973046936826,0.0018727666339110201,0.6093568592460408,171.2,1.201428551400022,0.6168187301057518,0.0020055945345124164,0.6168187301057518,0.0020055945345124164,0.6188965089205197,,149.5,13.5,0.009721425412069218,0.007461870859711062,0.2609222820001378,0.0019893944995601487,1.2205880878333726,1.4834997643330705,1.4834997643330705,2,0.605125368663654,0.011693361442097872,0.0019403175386977888,1,0.1102391233989402,0.07722595456349811,"J permuted across edges (seeds 500,501) x 3 Leiden seeds"
email-Enron,real,C_seed,33696,180811,91382,3,0.5,0.630932,0.505401,ok,,,,0.6070973046936826,0.0018727666339110201,0.6093568592460408,171.2,1.201428551400022,0.615401104994516,0.001770745081223284,0.615401104994516,0.001770745081223284,0.6169883763863692,0.5851803795767809,143.66666666666666,11.67142760000773,0.00830380030083333,0.006044245748475174,0.2609222820001378,0.10790997900039656,1.7883845506664027,2.1572168116669372,2.1572168116669372,2,0.605125368663654,0.010275736330861984,0.0018224698910773351,1,0.1102391233989402,0.07722595456349811,Leiden on L-Spar@0.5 then optimise on G from that membership
email-Enron,real,L_lspar05,33696,180811,91382,3,0.5,0.630932,0.505401,ok,,,,0.6070973046936826,0.0018727666339110201,0.6093568592460408,171.2,1.201428551400022,0.8061014567210761,0.0019292398812708062,0.5851803795767809,1.715662397262196e-05,0.5852023816132285,,367.0,7.483314773547883,-0.021916925116901687,-0.024176479669259843,0.2609222820001378,0.10832611699970585,0.8520506496667318,1.2212990486665753,1.2212990486665753,2,0.605125368663654,-0.019944989086873033,0.0013243015545631122,0,0.1102391233989402,0.07722595456349811,pure L-Spar deletion (Exp L reproduction)
email-Enron,real,D_protected,33696,180811,90406,6,0.5,0.63093,0.500003,ok,0.482205,0.964405,3218,0.6070973046936826,0.0018727666339110201,0.6093568592460408,171.2,1.201428551400022,0.7975223682426106,0.0028904070726982777,0.5794554538913012,0.0038317798149030188,0.5844396514546143,,587.8333333333334,9.388231403671774,-0.027641850802381462,-0.02990140535473962,0.2609222820001378,0.14255882100042072,0.8671010783336897,1.2705821813342482,1.2705821813342482,2,0.605125368663654,-0.02566991477235281,0.0030157744788850364,0,0.1102391233989402,0.07722595456349811,L-Spar core (largest e with ret<=0.5) + uniform random fill
email-Enron,real,U_uniform05,33696,180811,90406,6,0.5,,0.500003,ok,,,,0.6070973046936826,0.0018727666339110201,0.6093568592460408,171.2,1.201428551400022,0.6272096988440943,0.004260962446403989,0.5387816439907714,0.005497521936566917,0.5461823237246939,,6946.333333333333,36.84954394410993,-0.06831566070291117,-0.07057521525526933,0.0,0.05454756000062844,1.2914025720001518,1.3459501320007803,1.3459501320007803,2,0.605125368663654,-0.06634372467288252,0.004106701980185857,0,,,"uniform random 50% of edges (no J computed, no T_jaccard)"
